edad,ingreso,gasto,ahorros,compra
18,549.53,549.53,0.0,200.91
19,908.68,908.68,0.0,177.57
75,1624.35,1100.73,523.62,323.61
28,3019.05,2030.94,988.11,655.29
56,1085.94,387.04,698.9,73.69
32,5113.59,3607.74,1505.85,1111.45
28,499.01,200.0,299.01,119.02
37,1232.09,775.39,456.7,349.87
26,4055.86,2733.11,1322.75,1442.72
18,1408.33,1165.94,242.39,617.9
25,2504.52,1695.78,808.74,1032.42
18,2600.39,1725.85,874.54,468.44
45,9913.08,7232.98,2680.1,3153.84
46,2746.53,1931.17,815.36,617.27
33,1804.55,1194.87,609.68,461.26
18,1533.55,517.93,1015.62,123.02
32,751.72,691.3,60.42,221.28
42,2347.89,1808.22,539.67,989.28
40,1450.85,1450.85,0.0,739.17
59,2897.0,2519.92,377.08,658.01
33,4745.42,4745.42,0.0,1358.4
61,1389.84,1173.87,215.97,366.16
18,8398.68,6887.26,1511.42,1537.69
18,2877.25,2171.36,705.89,569.06
28,1611.41,935.84,675.57,360.83
24,2156.93,1562.55,594.38,670.46
31,1067.34,973.51,93.83,398.79
18,3346.05,2158.85,1187.2,762.31
18,776.31,776.31,0.0,312.97
18,1036.02,1036.02,0.0,308.74
32,5525.83,3513.32,2012.51,2007.26
44,825.44,755.38,70.06,214.17
30,400.58,200.0,200.58,4.83
52,1329.55,1238.1,91.45,712.6
26,1757.68,1020.49,737.19,388.2
28,3028.96,1993.46,1035.5,728.57
28,702.54,229.84,472.7,56.38
46,1483.79,1205.65,278.14,513.17
23,944.25,490.87,453.38,203.85
27,846.58,846.58,0.0,406.0
45,3976.42,2801.55,1174.87,861.82
29,1991.5,1113.2,878.3,601.2
23,1749.5,1457.09,292.41,325.97
47,4038.88,2859.79,1179.09,1536.23
50,630.9,298.3,332.6,164.04
41,404.72,258.09,146.63,0.0
25,757.89,745.72,12.17,415.7
40,2801.01,2215.94,585.07,1026.11
40,7599.08,6202.07,1397.01,1847.89
18,2238.52,1257.62,980.9,621.71
34,1725.58,1560.43,165.15,921.4
20,4266.7,3699.24,567.46,1237.28
18,1238.32,556.83,681.49,78.38
18,1809.78,1574.26,235.52,616.69
30,6111.09,5125.9,985.19,1005.45
18,1319.42,510.38,809.04,300.02
37,629.71,336.66,293.05,187.61
28,473.34,294.59,178.75,56.07
29,1038.06,747.71,290.35,314.05
58,1156.42,938.75,217.67,395.21
52,7231.7,4694.71,2536.99,1970.95
23,7009.45,5545.69,1463.76,1493.63
48,761.23,761.23,0.0,290.13
48,2760.24,2198.35,561.89,550.9
46,1189.92,492.55,697.37,66.16
39,1767.56,1117.82,649.74,426.65
18,2865.56,1871.01,994.55,1097.93
43,700.4,575.73,124.67,140.02
22,3733.25,2209.02,1524.23,1047.19
32,1240.36,1112.79,127.57,323.18
18,1169.56,788.85,380.71,242.53
43,1062.93,964.69,98.24,529.58
41,820.98,335.0,485.98,85.26
25,2899.02,2141.31,757.71,1135.13
30,1433.08,821.23,611.85,515.77
19,3397.43,2341.74,1055.69,930.71
58,609.62,200.0,409.62,76.78
46,2924.12,2465.7,458.42,1452.06
30,1515.54,795.47,720.07,396.75
46,784.4,200.0,584.4,75.27
59,83.1,83.1,0.0,9.77
59,1260.52,1212.71,47.81,384.62
50,772.15,604.64,167.51,374.64
29,3582.39,2474.03,1108.36,811.9
18,384.75,200.0,184.75,73.96
58,2212.06,1451.16,760.9,397.31
35,2790.59,2375.09,415.5,601.25
39,1457.72,633.26,824.46,191.71
42,473.64,335.57,138.07,111.38
19,708.88,200.0,508.88,40.29
27,1946.32,1667.54,278.78,839.35
35,1304.27,1096.0,208.27,492.59
41,419.48,355.98,63.5,173.07
50,708.48,303.95,404.53,154.39
18,1452.5,687.12,765.38,287.91
43,4124.7,2922.75,1201.95,984.79
41,946.94,575.98,370.96,245.38
36,1133.62,742.68,390.94,358.53
20,2522.2,2236.85,285.35,645.23
31,656.6,656.6,0.0,228.13
24,2283.49,1087.29,1196.2,441.73
36,2036.29,1258.89,777.4,534.84
18,1579.05,1275.2,303.85,453.01
39,1557.1,1557.1,0.0,888.53
59,529.65,529.65,0.0,263.04
47,832.94,200.0,632.94,69.88
18,1254.55,1088.41,166.14,451.81
40,2196.73,1425.99,770.74,769.29
32,874.94,259.12,615.82,37.38
52,351.38,200.0,151.38,70.9
35,1607.25,1607.25,0.0,674.1
45,1312.64,1312.64,0.0,288.92
23,1205.31,682.44,522.87,414.87
46,1565.5,1133.17,432.33,617.2
54,16439.34,10750.35,5688.99,2715.23
18,3067.07,2512.33,554.74,896.43
32,547.74,200.0,347.74,70.71
33,929.81,874.43,55.38,259.37
18,1054.35,1054.35,0.0,194.52
37,1295.19,761.86,533.33,284.4
20,1386.21,1118.96,267.25,260.96
28,356.94,227.88,129.06,103.51
18,3140.22,2213.49,926.73,756.0
30,1119.17,490.28,628.89,187.67
39,1950.79,1331.62,619.17,755.37
30,1253.86,620.37,633.49,314.58
50,1831.39,1831.39,0.0,877.91
18,327.8,200.0,127.8,31.05
39,3129.09,1708.04,1421.05,615.3
35,987.11,987.11,0.0,557.79
33,10131.87,7164.38,2967.49,2933.6
59,4633.66,4032.73,600.93,1806.17
34,6524.7,5559.49,965.21,2371.78
35,1797.3,1443.42,353.88,649.04
22,1444.1,1444.1,0.0,608.68
20,1218.89,1204.02,14.87,357.2
44,1659.91,1659.91,0.0,747.34
52,1624.89,1187.1,437.79,475.07
61,1368.36,1368.36,0.0,811.04
38,943.58,462.87,480.71,193.73
44,2560.91,2410.23,150.68,1224.41
32,528.03,528.03,0.0,305.71
35,1692.59,1692.59,0.0,760.16
24,1849.28,914.27,935.01,285.73
18,1107.84,1001.64,106.2,678.49
34,1715.32,734.39,980.93,312.68
41,3962.15,2832.48,1129.67,1197.69
33,1826.21,792.35,1033.86,403.21
39,567.93,377.57,190.36,289.36
49,1776.85,1281.59,495.26,686.69
21,198.44,198.44,0.0,116.48
37,1754.17,1164.98,589.19,408.59
27,1498.81,930.07,568.74,453.03
50,723.55,355.22,368.33,142.42
18,2211.11,1639.7,571.41,684.35
41,416.85,200.0,216.85,125.23
44,515.25,264.79,250.46,104.25
18,1225.34,1225.34,0.0,315.26
40,597.65,200.0,397.65,55.71
29,1021.03,703.07,317.96,106.79
50,953.61,343.45,610.16,162.94
24,1828.13,1424.44,403.69,492.72
23,1416.72,1363.81,52.91,473.69
39,1117.25,1117.25,0.0,636.84
18,1508.34,569.41,938.93,196.77
18,1310.33,919.62,390.71,450.74
75,4411.35,4104.65,306.7,801.97
32,924.47,924.47,0.0,375.46
39,284.55,200.0,84.55,115.4
47,4599.62,3276.53,1323.09,1807.67
18,1410.46,766.78,643.68,320.19
33,2457.76,2049.76,408.0,400.95
33,559.55,208.34,351.21,34.65
43,1628.15,1433.96,194.19,320.26
49,784.36,784.36,0.0,426.37
18,1447.43,1346.65,100.78,621.09
18,1355.15,996.54,358.61,234.82
49,2354.1,1376.24,977.86,673.37
43,1426.77,1426.77,0.0,668.44
18,568.64,447.44,121.2,228.66
20,547.77,435.43,112.34,125.51
28,2560.98,1993.87,567.11,1163.4
29,3267.17,2670.15,597.02,1335.68
43,1678.91,1096.14,582.77,520.25
20,1060.28,1052.09,8.19,620.34
31,715.83,599.07,116.76,309.44
18,1734.55,1294.43,440.12,673.19
18,8877.75,6451.38,2426.37,1696.27
24,887.25,430.07,457.18,196.27
40,1511.51,1350.67,160.84,732.85
25,575.37,267.69,307.68,191.41
37,952.13,952.13,0.0,153.4
32,4876.11,3396.01,1480.1,838.04
39,10719.92,7162.17,3557.75,3515.2
56,2563.39,1311.59,1251.8,719.49
23,769.28,710.44,58.84,192.31
29,3650.06,2531.78,1118.28,1233.93
34,1332.46,882.09,450.37,247.68
32,2289.36,1778.14,511.22,898.75
29,326.01,200.0,126.01,117.73
25,2224.33,2224.33,0.0,1221.96
34,8397.53,5521.61,2875.92,1556.54
52,4115.69,2676.8,1438.89,1455.22
39,1912.86,1288.9,623.96,265.16
18,8105.71,7467.08,638.63,3135.96
18,977.04,730.82,246.22,407.68
64,2128.71,1167.1,961.61,464.55
18,1777.57,1744.17,33.4,530.98
32,2398.03,1715.53,682.5,683.52
24,6747.76,6016.2,731.56,3548.57
35,1469.28,591.14,878.14,108.6
23,4362.46,3639.16,723.3,885.36
18,1804.83,1240.53,564.3,314.14
43,1922.55,1549.58,372.97,337.33
32,575.9,575.9,0.0,297.79
24,1753.75,1192.18,561.57,586.22
18,1216.83,1205.81,11.02,334.23
45,1316.16,499.95,816.21,260.51
46,1517.97,1142.01,375.96,449.43
18,2061.84,1423.05,638.79,767.26
37,1911.25,1404.35,506.9,358.74
37,892.0,486.48,405.52,225.72
32,1773.9,1277.82,496.08,743.1
41,1269.78,543.44,726.34,178.1
31,4159.55,3019.77,1139.78,1398.66
42,1664.68,1174.73,489.95,317.47
26,1998.33,1540.5,457.83,926.72
34,1935.13,1354.35,580.78,589.53
54,2425.66,2097.24,328.42,685.31
43,962.22,962.22,0.0,315.62
31,1136.44,1096.07,40.37,628.1
21,7733.0,5194.97,2538.03,2042.61
18,569.5,200.0,369.5,94.99
38,545.44,200.0,345.44,139.82
18,3068.26,2373.71,694.55,1075.8
31,1675.12,1504.68,170.44,731.04
43,376.84,200.0,176.84,0.0
53,1274.35,1274.35,0.0,592.66
37,743.34,385.17,358.17,312.65
22,888.72,200.0,688.72,101.35
18,2579.96,1724.56,855.4,585.64
21,1237.03,1144.53,92.5,232.57
60,1292.5,1044.47,248.03,605.19
34,1416.22,763.57,652.65,310.71
40,4755.4,3479.21,1276.19,885.06
25,805.71,646.29,159.42,112.46
31,755.07,717.14,37.93,190.7
23,553.37,506.34,47.03,258.19
31,2509.63,1334.15,1175.48,349.5
27,1794.27,1461.84,332.43,580.78
29,3758.2,3115.79,642.41,1862.45
36,11360.59,9642.06,1718.53,3727.14
18,1432.39,722.99,709.4,476.87
31,1091.91,1018.6,73.31,313.63
56,2233.63,1651.15,582.48,940.22
49,2400.16,1937.33,462.83,740.72
35,1985.82,1985.82,0.0,858.31
21,998.76,445.0,553.76,143.86
24,778.67,365.05,413.62,22.92
46,1398.92,594.37,804.55,267.11
63,1704.1,807.44,896.66,186.9
52,2379.96,1302.59,1077.37,578.87
52,1481.42,975.23,506.19,283.68
74,1645.58,1645.58,0.0,811.26
18,1357.07,1357.07,0.0,521.17
40,1869.63,1474.52,395.11,646.49
34,1182.43,834.46,347.97,215.47
33,834.05,641.35,192.7,235.03
65,1593.36,999.09,594.27,265.85
25,2250.26,1559.32,690.94,718.79
40,540.74,540.74,0.0,132.23
56,424.73,200.0,224.73,115.33
55,689.88,284.17,405.71,52.89
38,510.02,510.02,0.0,199.01
37,1610.37,649.95,960.42,348.54
51,848.8,220.52,628.28,144.15
38,666.03,200.0,466.03,27.77
27,747.43,717.62,29.81,206.78
59,3578.49,2976.47,602.02,707.21
38,1705.55,1705.55,0.0,478.53
35,2005.28,1897.25,108.03,559.24
35,568.17,568.17,0.0,164.17
36,950.99,913.99,37.0,215.16
29,1909.66,1401.8,507.86,695.59
43,796.6,796.6,0.0,340.24
25,4640.64,3743.4,897.24,1021.75
64,4118.41,2679.23,1439.18,1188.33
21,2310.34,2027.86,282.48,477.38
18,913.79,590.44,323.35,213.26
37,2596.52,1683.35,913.17,937.26
24,2161.79,2078.14,83.65,1036.49
44,1847.95,1350.17,497.78,486.57
41,1324.39,836.01,488.38,465.3
18,673.84,535.65,138.19,65.81
21,3666.7,2654.0,1012.7,722.43
31,2147.64,1628.22,519.42,952.65
35,1079.2,557.98,521.22,73.51
27,494.44,494.44,0.0,203.4
39,794.31,794.31,0.0,161.64
66,1171.79,750.85,420.94,277.91
36,1596.59,1596.59,0.0,1049.58
39,2488.12,2381.92,106.2,1383.99
18,2159.43,850.32,1309.11,429.4
37,1339.18,878.95,460.23,174.26
38,1232.15,448.64,783.51,167.53
51,4828.36,4235.69,592.67,1673.09
62,11661.74,9269.39,2392.35,3728.51
47,334.9,334.9,0.0,176.82
34,548.44,322.57,225.87,180.38
19,475.28,475.28,0.0,156.22
36,1849.15,1543.56,305.59,611.0
54,3507.33,2606.18,901.15,818.69
18,778.71,752.8,25.91,287.81
35,1394.86,1309.9,84.96,468.63
29,207.26,207.26,0.0,39.65
28,1239.76,1005.55,234.21,376.58
37,3789.12,2622.21,1166.91,1005.43
48,1171.38,575.4,595.98,243.44
47,2448.18,1598.04,850.14,879.15
28,565.96,200.0,365.96,44.88
47,4549.64,3143.62,1406.02,930.43
32,2035.32,1200.13,835.19,570.59
28,2691.69,2687.31,4.38,1210.56
30,1661.07,1084.7,576.37,583.77
55,911.37,377.18,534.19,172.89
57,1624.15,1548.76,75.39,751.88
23,949.0,925.45,23.55,478.73
24,895.17,895.17,0.0,387.83
26,852.68,852.68,0.0,226.94
38,1642.97,722.09,920.88,312.22
44,957.84,461.15,496.69,133.84
45,1127.91,690.64,437.27,241.06
43,936.57,200.0,736.57,72.61
28,714.61,200.0,514.61,150.46
27,2191.75,1619.42,572.33,469.45
19,7012.01,4370.8,2641.21,1849.37
54,966.35,618.88,347.47,207.61
43,2212.4,1893.45,318.95,742.68
18,9874.96,7208.51,2666.45,3359.99
26,4203.29,3042.6,1160.69,1427.69
46,1183.27,1183.27,0.0,547.27
39,316.99,200.0,116.99,87.21
25,442.34,200.0,242.34,82.06
34,937.81,861.07,76.74,257.45
53,331.14,200.0,131.14,108.33
43,1141.79,1141.79,0.0,335.08
26,4652.68,3662.99,989.69,1113.71
18,3990.55,2787.8,1202.75,808.15
31,1842.78,1842.78,0.0,886.14
55,1621.78,919.79,701.99,383.32
42,2228.94,2050.5,178.44,494.75
58,1047.87,1047.87,0.0,522.08
60,2078.76,1921.89,156.87,1192.74
23,2602.47,1885.96,716.51,1013.85
61,3766.32,2617.02,1149.3,949.24
21,1705.96,964.85,741.11,451.93
20,2384.69,1651.59,733.1,539.92
47,584.38,200.0,384.38,62.24
41,5295.98,4649.82,646.16,2144.25
54,1153.55,418.2,735.35,159.9
37,1399.82,815.48,584.34,388.65
46,1454.94,1250.69,204.25,244.95
21,1199.98,931.63,268.35,154.19
45,592.86,200.0,392.86,88.36
44,657.87,657.87,0.0,405.46
71,1081.51,1057.32,24.19,356.92
35,1554.16,1160.0,394.16,357.72
47,449.67,263.78,185.89,154.29
42,1577.66,485.2,1092.46,256.78
29,1390.52,840.38,550.14,349.4
25,2623.25,1588.25,1035.0,397.29
33,2822.04,1717.36,1104.68,415.07
35,5558.88,3400.1,2158.78,1695.41
39,229.13,229.13,0.0,75.54
38,962.6,871.98,90.62,250.18
51,10080.81,8639.08,1441.73,3889.33
49,1847.04,1440.85,406.19,349.27
42,1031.88,690.78,341.1,268.9
75,437.81,200.0,237.81,60.45
35,527.34,527.34,0.0,118.02
54,402.55,402.55,0.0,191.7
18,3226.56,2704.26,522.3,615.9
18,667.41,667.41,0.0,342.57
33,670.79,200.0,470.79,49.38
21,1189.06,1115.6,73.46,185.45
34,1360.96,1360.96,0.0,494.54
18,870.46,542.37,328.09,314.72
18,945.48,945.48,0.0,585.2
43,483.13,200.0,283.13,91.13
18,586.18,508.17,78.01,326.21
54,2277.02,2028.48,248.54,994.07
21,2032.79,1141.31,891.48,450.49
30,549.92,200.0,349.92,162.97
28,1913.77,1083.11,830.66,754.36
38,3004.49,2207.9,796.59,1156.23
20,1998.89,1533.02,465.87,697.84
48,1762.61,1464.51,298.1,676.05
51,740.69,740.69,0.0,378.41
43,482.91,482.91,0.0,287.17
43,2101.37,1067.6,1033.77,406.49
54,1790.79,1027.21,763.58,322.8
33,2140.83,1629.46,511.37,595.05
49,1736.05,968.99,767.06,238.51
28,917.57,295.79,621.78,202.51
40,342.47,272.83,69.64,67.45
18,1198.29,886.75,311.54,444.72
25,968.43,487.37,481.06,176.94
22,10314.37,6877.17,3437.2,2045.8
37,1178.91,945.96,232.95,391.37
44,750.65,316.74,433.91,0.0
18,262.49,262.49,0.0,174.16
42,4166.38,3101.52,1064.86,1113.88
44,1425.8,1265.34,160.46,458.91
41,1250.13,800.97,449.16,333.97
33,3480.55,2426.58,1053.97,1182.38
20,3294.53,2114.11,1180.42,952.98
64,2383.6,1829.5,554.1,518.06
21,1501.68,200.0,1301.68,88.94
20,1133.15,297.84,835.31,198.3
28,416.99,200.0,216.99,86.4
18,10147.62,6554.94,3592.68,1495.09
50,595.72,392.3,203.42,253.1
47,1408.67,753.34,655.33,189.87
54,392.4,392.4,0.0,210.03
33,2848.91,2703.19,145.72,925.32
57,8075.15,5516.4,2558.75,1740.93
40,610.48,407.91,202.57,77.56
33,546.88,200.0,346.88,4.15
21,640.26,360.04,280.22,287.59
41,280.59,200.0,80.59,10.12
38,1267.11,1132.97,134.14,401.01
18,975.82,975.82,0.0,614.55
34,1045.79,804.07,241.72,197.65
32,728.88,200.0,528.88,151.53
53,1264.26,1106.85,157.41,389.26
39,3298.03,2705.28,592.75,781.9
38,2681.14,2105.76,575.38,1187.08
18,154.44,154.44,0.0,94.81
18,1721.44,789.21,932.23,353.4
21,2777.87,2462.97,314.9,561.06
52,2470.82,1727.88,742.94,683.36
48,983.92,399.4,584.52,154.41
18,7477.44,6523.44,954.0,2046.87
46,1231.35,551.2,680.15,219.96
48,1760.24,1760.24,0.0,464.52
57,5109.1,4502.05,607.05,2330.21
18,1254.22,712.22,542.0,326.73
53,738.98,610.78,128.2,258.58
51,1344.98,1327.56,17.42,430.58
31,1077.0,730.9,346.1,446.85
26,697.61,697.61,0.0,245.28
45,1685.41,1393.35,292.06,609.29
28,4018.09,3373.8,644.29,706.91
53,2534.72,1907.62,627.1,762.74
29,601.87,517.36,84.51,234.91
40,1500.05,1316.37,183.68,390.7
55,5046.56,3988.88,1057.68,1306.62
44,6606.16,4413.56,2192.6,2591.16
63,1938.51,1686.5,252.01,467.25
34,828.27,828.27,0.0,188.21
18,1539.87,751.31,788.56,273.29
33,1895.02,1158.93,736.09,237.38
71,809.84,262.06,547.78,0.0
30,1041.83,1041.83,0.0,248.86
36,3599.59,2922.39,677.2,818.33
38,1374.45,1159.13,215.32,595.41
40,3010.79,2166.46,844.33,1229.03
35,1496.98,1496.98,0.0,678.7
26,2422.11,1299.02,1123.09,578.45
35,2336.45,1428.94,907.51,328.1
75,2046.78,1644.77,402.01,859.04
18,5435.04,3978.78,1456.26,1220.56
18,2200.88,1347.27,853.61,307.44
27,673.2,444.18,229.02,66.53
66,1479.89,1195.63,284.26,713.62
44,564.61,255.39,309.22,132.41
18,1213.9,692.77,521.13,105.4
25,1909.58,1528.77,380.81,896.06
18,1984.95,1151.61,833.34,341.14
48,1848.27,1598.6,249.67,785.6
18,1322.37,737.49,584.88,464.48
48,541.38,221.57,319.81,36.95
26,2147.74,1577.96,569.78,475.79
32,1218.82,664.48,554.34,287.64
27,4843.62,3220.44,1623.18,1165.58
47,1617.17,1609.05,8.12,434.99
28,679.76,426.26,253.5,181.74
24,2015.75,1871.56,144.19,874.66
36,3385.92,2049.76,1336.16,421.83
30,1338.63,1083.73,254.9,147.88
35,1833.63,1327.28,506.35,392.34
25,289.66,289.66,0.0,145.16
47,2358.97,2335.47,23.5,693.06
51,480.38,480.38,0.0,253.4
24,501.67,371.9,129.77,206.21
28,1873.76,1569.62,304.14,528.71
41,1650.29,1650.29,0.0,371.12
44,2091.9,1543.83,548.07,807.16
37,2543.42,2438.31,105.11,1067.26
18,1051.93,899.46,152.47,235.93
62,260.58,200.0,60.58,14.53
18,364.37,343.23,21.14,172.05
50,358.6,200.0,158.6,13.41
18,2314.74,2314.74,0.0,1323.47
63,1278.18,848.44,429.74,460.67
18,2106.48,981.93,1124.55,465.09
48,2901.24,2104.27,796.97,541.44
29,4918.59,4434.49,484.1,2270.75
23,475.73,400.3,75.43,244.95
72,1514.67,1186.47,328.2,409.73
26,2442.04,1514.6,927.44,339.63
23,1725.9,1287.75,438.15,480.87
30,2070.68,1303.76,766.92,542.58
66,1929.95,1604.63,325.32,886.17
31,852.67,595.44,257.23,280.67
40,1292.82,980.75,312.07,177.66
35,1085.87,585.25,500.62,259.14
39,4181.21,3127.9,1053.31,938.63
43,1917.68,1353.32,564.36,394.14
75,1048.37,817.79,230.58,278.68
56,1660.29,1049.89,610.4,276.63
20,330.63,330.63,0.0,58.02
48,4827.66,2818.16,2009.5,744.47
18,2192.41,1694.29,498.12,938.69
