Region,Country,Country_income_level,Organization_name,Type_of_organization,Organization_description,Sector,URL,City,State_County,Founding_year,Size,Type_of_data_used,Application_Advocacy,Advocacy_description,Application_Product_Service,Product_Service_Description,Application_Organizational_Optimization,Organizational_Optimization_Description,Application_Research,Research_Description,Application_Other,Other_Description
"East Asia & Pacific",Taiwan,,"Hotai Motor",For-profit,"Hotai Motor Co., Ltd. is the distributor of Toyota, Lexus, HinoTrucks, and Toyota Industrial Equipment in Taiwan.",Consumer,"http://pressroom.hotaimotor.com.tw/en/ 
http://www.bubutrip.com.tw/",Taipei,,1947,"201 to 1000","Geospatial, Transportation, Weather, Arts and culture",FALSE,,FALSE,,TRUE,"personal itineraries - navigation output files that can be directly transmitted in car navigation equipment.",FALSE,,FALSE,
"Europe & Central Asia",Netherlands,"High income",Heineken,For-profit,"Heineken International is a Dutch brewing company.",Consumer,http://www.theheinekencompany.com/,Amsterdam,,0,1000+,"Agriculture, Weather",FALSE,,FALSE,,TRUE,"Optimize purchase of barley",FALSE,,FALSE,
"North America","United States","High income",GoodGuide,For-profit,"GoodGuide provides the world's largest and most reliable source of information on health, environmental, and social impacts of consumer products.",Consumer,http://www.goodguide.com,"San Francisco",CA,2007,"11 to 50","Health, Environment",FALSE,,TRUE,"Uses open data to provide information about the health, environmental and social performance of consumer products and companies. ",FALSE,,FALSE,,FALSE,
"Europe & Central Asia",Netherlands,"High income",FrieslandCampina,For-profit,"FrieslandCampina is a Dutch dairy cooperative.",Consumer,www.frieslandcampina.com,Amersfoort,,2008,1000+,Agriculture,FALSE,,FALSE,,TRUE,"Pre-assessment based on probability model of proteins in milk based on grass-quality",FALSE,,FALSE,
"North America","United States","High income","Food+Tech Connect",For-profit,"Food+Tech Connect is the site of record and connector for the food tech sector. Through their daily news and analysis, events and online courses, they help innovators transform the food industry, from farm to fork. They also produce a pretty stellar weekly newsletter that aggregates all of the top food tech news",Consumer,http://www.foodtechconnect.com/,"New York","New York",2010,"1 to 10",Agriculture,FALSE,,TRUE,"produces insights for the food and tech sector",FALSE,,FALSE,,FALSE,
"South Asia",India,"Lower middle income",eKutir,For-profit,"eKutir is a socially focused venture engaged in innovating new products, services, and sustainable model at the BoP (Base of Pyramid) market.",Consumer,http://www.ekutirsb.com/,Bhubaneswar,,2009,"51 to 200","Health, Agriculture",FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
"Europe & Central Asia",Netherlands,"High income","Ahold Delhaize",For-profit,"Delhaize is a Belgium-based food retailer.",Consumer,http://delhaizegroup.com,Amsterdam,,0,1000+,"Demographic and social",FALSE,,FALSE,,TRUE,"Analyzes customer behaviour and use it for targeted in store marketing",FALSE,,FALSE,
,,,"Danish Supermarket Developer (Dansk Supermarked Gruppe)",Nonprofit,"The first version of the Danish Supermarket Developer is an open source for developers to information about all of our 1200+ stores: Country, city, zip code, GPS coordinates and of course opening hours.",Consumer,https://developer.dansksupermarked.dk/v1/overview/,,,2015,1000+,Geospatial,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
"North America","United States","High income","The Kroger Co.",For-profit,"The Kroger Company, together with its subsidiaries, operates retail food and drug stores, multi-department stores, jewelry stores, and convenience stores. ",Consumer,http://www.thekrogerco.com/,Cincinnati,Ohio,0,1000+,"Demographic and social, Business, Consumer",FALSE,,FALSE,,TRUE,"The Kroger Company uses data from the American Community Survey (ACS) for market analysis and specialty research projects. Its primary market research involves projecting sales for new and remodeled grocery stores based on population counts and household profiles from the ACS. ",TRUE,,FALSE,
"North America","United States","High income",Target,For-profit,"Target is an upscale discount retailer that provides high-quality, on-trend merchandise at attractive prices in clean, spacious, and guest-friendly stores.",Consumer,http://target.com,Minneapolis,Minnesota,1902,1000+,"Demographic and social, Business, Consumer",FALSE,,TRUE,,TRUE,"Target uses statistical information from the American Community Survey (ACS) to learn about communities and better serve their customers.",TRUE,,FALSE,
"North America","United States","High income",Garmin,For-profit,"Garmin designs, manufactures, markets, and sells navigation, communication, and information devices for automotive, mobile, wireless, outdoor recreation, marine and aviation applications.",Consumer,www.garmin.com,Olathe,Kansas,1989,1000+,Geospatial,FALSE,,TRUE,"Garmin uses geospatial data to create navigation, communication, and information devices for automotive, mobile, wireless, outdoor recreation, marine and aviation applications.",FALSE,,FALSE,,FALSE,
"North America","United States","High income","Kellogg Company",For-profit,"Kellogg Company is a manufacturer and marketer of ready-to-eat cereal and convenience foods.",Consumer,www.kelloggcompany.com,"Battle Creek",Michigan,1906,1000+,"Agriculture, Geospatial, Geospatial",FALSE,,FALSE,,TRUE,"The Kellogg Company has committed to using agriculture and geospatial data to improve operations sustainability across its supply chain.",FALSE,,FALSE,
"Middle East & North Africa",Israel,"High income",BeeEye,For-profit,"BeeEye's EyeOnRisk platform delivers scores for better credit decisions.",Consumer,https://beeeye.com/,"Tel Aviv",,2015,"11 to 50",,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
