edad,promedio_notas,horas_estudio_semana,participacion_actividades,asistencia_clases
26,2.6,8,Alta,97.63
28,1.19,6,Baja,92.38
22,3.47,25,Media,78.25
27,1.79,11,Alta,90.54
21,2.55,30,Baja,86.57
26,1.08,22,Media,71.35
23,4.19,20,Alta,76.46
25,2.77,24,Alta,73.36
22,2.79,33,Baja,89.71
25,2.6,21,Media,82.18
23,3.63,24,Baja,85.32
24,3.77,37,Alta,75.54
18,3.27,9,Media,80.81
23,3.01,16,Media,100.0
25,3.07,30,Media,91.57
23,3.63,5,Media,100.0
19,3.07,37,Media,76.83
29,3.4,10,Alta,94.39
18,3.3,26,Baja,91.01
24,2.74,5,Media,73.41
23,3.54,36,Media,75.69
29,2.97,15,Alta,88.8
23,3.43,30,Media,84.87
20,2.85,38,Baja,70.11
29,2.24,26,Media,76.71
28,2.38,37,Alta,92.41
21,2.99,6,Alta,73.44
26,0.91,36,Baja,100.0
23,2.15,27,Media,70.13
27,3.74,7,Baja,87.13
25,2.04,18,Alta,74.04
18,2.74,36,Baja,69.56
19,3.66,25,Media,85.52
19,2.0,28,Media,84.5
24,3.39,29,Media,83.82
25,2.87,20,Baja,79.13
24,1.95,31,Media,67.26
22,3.01,18,Baja,82.62
21,2.7,13,Media,60.9
22,2.04,35,Baja,77.77
25,3.0,21,Media,100.0
26,3.18,33,Media,85.08
28,2.77,16,Media,93.22
19,3.73,38,Media,76.45
18,3.36,11,Media,100.0
20,2.91,5,Baja,74.64
25,2.2,29,Media,71.24
19,3.29,30,Media,91.2
28,3.1,7,Alta,75.81
18,3.82,18,Baja,100.0
25,3.78,20,Alta,83.38
25,2.79,38,Baja,83.35
27,3.12,20,Media,100.0
27,2.69,8,Baja,100.0
28,2.19,30,Media,90.59
23,2.06,10,Alta,72.5
26,2.8,26,Baja,89.35
18,3.5,29,Alta,87.45
22,3.42,21,Alta,77.75
25,3.6,36,Media,78.08
20,2.56,20,Media,87.27
23,1.7,7,Media,87.5
22,2.34,9,Media,82.31
26,4.47,24,Baja,90.12
27,2.68,36,Media,81.58
24,2.7,39,Alta,83.36
29,2.5,22,Media,92.32
25,3.54,6,Media,81.38
23,5.0,23,Alta,81.18
23,3.36,21,Baja,89.3
19,4.34,12,Media,86.19
24,3.34,36,Alta,86.75
19,2.97,22,Baja,67.82
19,3.41,37,Baja,100.0
24,4.17,11,Baja,79.5
27,3.59,6,Media,89.05
27,2.41,15,Alta,89.77
25,3.02,10,Alta,77.49
19,3.83,31,Media,94.2
20,1.94,37,Media,85.57
27,3.22,17,Baja,93.76
20,3.85,37,Media,100.0
28,3.09,15,Alta,84.66
29,2.2,39,Media,98.69
18,2.98,32,Media,96.34
25,2.44,26,Media,77.57
18,3.05,6,Baja,76.93
22,3.15,36,Media,88.41
24,3.55,30,Baja,91.78
29,4.37,37,Alta,95.94
23,4.07,27,Baja,84.73
26,3.8,36,Alta,82.08
21,3.18,28,Media,87.04
22,3.59,24,Media,88.26
28,3.44,31,Media,82.15
19,2.69,27,Alta,74.54
21,3.71,12,Baja,86.82
25,2.98,32,Media,89.62
22,3.75,28,Baja,100.0
24,3.99,20,Media,95.17
23,4.06,31,Alta,89.58
22,2.04,14,Media,88.25
21,2.54,12,Baja,97.82
28,2.43,6,Media,75.38
28,1.99,19,Media,94.95
29,1.89,36,Alta,93.43
18,2.44,17,Alta,88.19
27,2.46,9,Media,100.0
28,2.17,5,Media,85.75
29,3.67,26,Alta,89.13
20,2.6,30,Baja,81.16
27,3.99,9,Media,90.53
21,3.85,7,Media,83.08
23,3.27,22,Media,81.15
23,2.92,14,Alta,88.08
28,4.5,9,Media,80.74
23,4.07,36,Alta,76.79
23,2.73,26,Baja,71.39
18,2.71,9,Baja,79.81
25,3.75,5,Alta,100.0
18,4.73,30,Baja,76.39
28,2.99,36,Alta,82.08
22,3.1,10,Media,73.16
27,3.32,22,Media,84.41
20,3.33,37,Baja,80.03
28,2.2,25,Alta,82.11
23,3.33,12,Baja,70.74
26,3.23,6,Media,100.0
23,2.79,5,Alta,83.86
21,2.56,8,Alta,98.75
29,4.52,38,Alta,93.99
22,3.08,8,Media,75.26
27,4.5,14,Baja,88.62
22,3.0,12,Baja,97.29
24,3.02,14,Alta,100.0
22,1.29,37,Baja,71.81
27,3.61,23,Baja,88.94
27,2.15,25,Alta,86.62
29,3.81,32,Media,94.12
24,2.83,19,Media,60.48
20,2.2,6,Media,86.22
19,3.26,7,Baja,92.45
29,2.83,14,Media,76.86
20,3.87,11,Alta,67.56
20,2.32,25,Alta,91.12
22,3.77,36,Media,100.0
19,3.2,36,Media,79.6
27,2.45,36,Baja,95.65
19,1.87,9,Media,88.95
18,1.06,9,Baja,69.54
20,3.45,21,Media,82.32
29,4.39,39,Alta,85.65
26,3.38,37,Media,73.18
22,1.92,5,Media,66.24
26,2.49,17,Media,93.63
29,1.24,11,Alta,87.57
20,4.67,5,Baja,65.14
28,1.56,16,Media,91.36
29,2.68,38,Media,91.66
22,2.22,16,Alta,98.73
26,1.52,28,Baja,92.34
22,1.7,38,Alta,75.81
22,2.29,18,Baja,88.61
24,2.92,28,Alta,89.72
29,2.66,11,Baja,64.5
29,3.41,10,Media,86.62
29,2.4,18,Media,96.58
25,3.63,13,Media,88.52
25,2.97,25,Media,86.09
28,3.13,21,Baja,100.0
26,4.55,18,Alta,83.65
19,2.26,29,Media,82.59
29,2.74,7,Baja,79.1
29,2.71,35,Baja,94.28
29,2.7,35,Baja,84.68
25,3.47,15,Alta,89.54
29,3.28,17,Media,84.73
27,3.53,39,Media,96.51
26,3.07,22,Alta,86.4
27,4.4,29,Alta,86.19
21,2.79,29,Alta,85.53
24,4.44,11,Media,80.91
21,2.99,11,Alta,92.28
20,4.24,21,Alta,98.74
24,3.39,25,Media,100.0
26,4.25,12,Alta,100.0
25,3.25,22,Baja,76.12
27,2.67,22,Media,89.6
22,2.67,12,Media,93.71
18,2.51,20,Alta,87.95
19,1.21,14,Media,77.52
29,2.92,28,Baja,97.56
19,1.43,25,Alta,100.0
29,3.93,18,Baja,84.52
24,3.62,39,Alta,84.19
28,2.11,24,Alta,96.8
28,1.66,10,Alta,81.99
19,3.27,29,Alta,99.03
25,2.44,11,Baja,69.67
25,1.74,20,Media,90.77
27,4.03,13,Alta,72.0
19,2.65,16,Alta,80.41
23,2.98,5,Baja,84.49
22,2.57,37,Media,100.0
18,1.31,17,Baja,94.24
18,2.33,5,Alta,80.69
26,4.18,9,Media,88.57
22,3.53,24,Media,83.09
24,2.65,25,Alta,77.0
29,2.14,7,Baja,92.46
25,4.63,32,Alta,79.26
28,2.57,26,Alta,100.0
19,4.02,6,Baja,79.49
23,2.91,14,Alta,85.44
19,2.83,20,Alta,84.77
23,1.95,34,Baja,79.87
19,3.88,17,Baja,85.38
29,2.94,27,Alta,71.88
19,1.71,33,Alta,87.78
29,4.51,38,Baja,59.82
24,3.13,11,Baja,90.62
26,2.32,18,Baja,78.92
29,2.49,16,Media,93.48
29,2.77,6,Media,100.0
29,1.87,19,Media,89.77
20,3.79,18,Alta,84.82
22,3.32,32,Baja,100.0
24,3.36,39,Baja,100.0
27,2.69,36,Media,84.57
20,3.56,39,Alta,82.85
24,1.88,25,Baja,100.0
22,1.62,34,Media,80.7
19,3.55,10,Media,100.0
21,2.72,11,Baja,100.0
29,3.7,23,Alta,95.61
23,2.03,17,Media,100.0
18,2.42,33,Media,83.48
21,3.78,9,Alta,96.89
24,3.03,31,Media,82.28
19,2.74,6,Alta,100.0
18,1.46,35,Baja,76.76
19,4.39,14,Alta,78.77
27,2.82,11,Alta,66.3
22,3.05,14,Baja,83.11
22,1.98,32,Baja,82.71
23,3.51,30,Alta,85.16
23,2.17,25,Alta,61.86
26,2.1,38,Media,77.94
28,3.51,18,Alta,67.44
19,2.24,33,Media,84.43
24,1.86,8,Media,83.1
22,3.39,24,Media,98.87
25,2.22,38,Media,77.79
24,1.77,24,Alta,75.96
28,2.17,30,Media,82.77
24,3.0,10,Baja,90.89
25,3.0,37,Baja,77.87
29,2.57,33,Baja,90.03
27,4.48,30,Media,89.71
21,3.83,11,Baja,96.13
24,3.14,28,Baja,63.67
20,3.25,14,Media,98.1
29,1.59,20,Baja,89.67
23,3.8,27,Media,87.85
28,2.97,10,Alta,85.82
27,3.66,26,Media,67.5
27,2.58,15,Media,71.87
21,2.68,17,Media,93.83
27,2.28,26,Baja,78.44
24,3.55,14,Media,96.36
26,2.54,15,Baja,100.0
23,3.01,13,Baja,89.69
29,3.32,24,Baja,87.14
29,2.53,29,Media,81.44
21,1.71,16,Media,70.85
23,3.57,5,Media,72.1
26,2.29,14,Alta,85.51
19,3.47,9,Alta,74.36
28,4.41,7,Media,77.46
27,2.92,13,Media,66.63
25,3.65,27,Media,86.84
27,2.68,36,Baja,96.93
28,3.42,39,Alta,97.69
27,3.01,29,Baja,70.44
20,2.52,34,Baja,89.1
18,2.57,7,Baja,67.26
19,2.41,10,Baja,64.1
20,2.31,12,Alta,75.41
22,2.89,24,Media,77.95
26,5.0,10,Media,78.43
29,3.0,22,Media,97.16
18,3.58,7,Media,73.94
25,3.06,30,Alta,77.86
26,2.42,6,Media,91.3
25,2.29,18,Alta,93.22
19,3.38,8,Media,68.78
19,3.3,32,Media,93.1
19,2.66,6,Media,100.0
24,2.88,21,Alta,84.66
23,2.61,37,Alta,62.24
25,4.24,31,Baja,92.21
22,1.24,16,Baja,71.7
19,4.45,16,Media,73.75
24,3.08,12,Media,97.3
29,3.65,18,Baja,80.15
25,2.4,35,Alta,87.32
21,4.13,10,Alta,68.53
19,3.16,37,Media,85.4
28,4.1,7,Alta,77.33
18,3.22,16,Alta,75.0
24,4.76,10,Media,71.21
22,3.31,20,Media,81.85
29,3.26,33,Alta,78.97
23,2.23,24,Baja,74.1
23,3.99,30,Media,74.21
25,3.37,36,Baja,87.12
21,2.49,39,Media,81.45
19,3.46,11,Baja,88.39
25,2.97,15,Baja,76.14
18,3.67,32,Media,100.0
25,2.34,23,Media,85.96
28,3.37,8,Alta,89.98
27,3.89,12,Alta,85.92
18,2.61,20,Alta,77.16
22,2.19,28,Media,80.44
29,3.41,17,Media,60.73
26,2.34,5,Alta,73.94
21,4.63,25,Alta,94.22
21,2.44,38,Alta,79.97
24,2.56,20,Baja,96.1
19,1.15,14,Baja,76.88
25,3.65,17,Media,100.0
24,3.09,18,Media,94.12
21,3.12,33,Media,93.37
18,3.51,19,Alta,74.2
28,3.37,17,Media,96.8
20,2.09,6,Alta,97.79
28,2.05,21,Alta,78.64
29,3.59,13,Alta,78.62
27,3.96,9,Alta,94.98
18,2.83,9,Alta,86.41
22,2.85,10,Alta,80.28
23,3.71,12,Alta,74.69
19,3.48,28,Alta,68.42
25,3.81,12,Baja,100.0
20,3.32,9,Media,92.27
25,3.55,11,Media,80.42
20,3.14,11,Alta,77.41
21,3.57,5,Alta,73.58
20,3.42,13,Media,91.87
24,3.15,27,Baja,86.11
28,3.02,24,Baja,74.97
22,2.92,35,Media,91.82
20,3.3,11,Baja,100.0
18,1.42,23,Media,69.97
20,1.71,10,Baja,82.92
26,1.8,38,Baja,100.0
21,2.87,21,Media,77.53
28,3.1,33,Media,89.56
20,2.68,17,Media,81.0
19,3.94,10,Media,100.0
28,3.11,25,Baja,100.0
18,2.84,31,Media,89.28
23,3.36,18,Baja,66.73
26,3.53,8,Media,86.27
18,3.31,38,Baja,86.72
18,4.68,14,Media,70.66
18,3.63,25,Alta,78.87
22,2.14,15,Alta,98.87
25,2.2,33,Media,80.59
24,3.79,9,Baja,89.56
20,3.22,34,Media,83.93
28,3.1,9,Baja,76.25
27,2.53,22,Alta,100.0
19,2.88,7,Baja,91.62
29,3.18,7,Baja,70.09
26,3.23,21,Baja,100.0
27,3.24,31,Alta,70.02
20,3.37,18,Alta,85.79
21,2.7,31,Media,88.8
20,3.23,10,Media,86.33
25,3.41,19,Media,77.14
22,3.53,30,Baja,75.63
25,2.97,25,Baja,92.33
21,1.63,9,Baja,78.95
28,3.65,31,Alta,100.0
22,4.98,15,Alta,76.56
23,2.54,5,Media,74.63
28,3.71,38,Baja,86.1
18,2.95,28,Baja,86.65
26,3.23,9,Media,85.15
19,1.61,21,Media,86.8
29,5.0,34,Baja,89.44
26,4.06,20,Media,65.87
20,4.5,17,Baja,79.12
28,3.06,7,Media,73.79
18,3.31,13,Media,71.98
24,2.14,35,Baja,87.87
26,1.9,8,Baja,100.0
23,1.36,10,Media,85.18
22,2.67,13,Baja,92.74
29,2.14,25,Media,79.68
29,2.47,5,Media,91.18
28,4.0,24,Media,86.67
24,2.44,6,Media,84.04
21,2.53,29,Media,69.64
22,2.58,20,Baja,77.42
21,1.71,17,Alta,76.23
26,2.5,10,Media,100.0
28,2.25,27,Alta,81.14
26,2.77,25,Media,68.74
26,1.28,33,Media,77.48
27,2.77,15,Baja,84.88
18,2.62,31,Media,64.99
25,2.42,34,Alta,68.11
23,4.0,31,Baja,89.19
29,4.03,36,Baja,95.46
19,2.55,37,Media,96.39
20,4.43,26,Media,99.82
22,2.67,38,Alta,92.87
24,3.0,31,Alta,87.23
25,2.6,6,Media,94.22
27,2.6,22,Baja,89.84
22,1.33,21,Baja,83.77
23,3.5,25,Alta,99.82
27,2.92,32,Baja,100.0
26,3.58,11,Alta,89.65
22,2.26,12,Alta,91.53
28,2.84,33,Alta,100.0
22,2.86,22,Media,96.59
18,3.38,34,Alta,88.87
28,2.92,33,Alta,100.0
27,3.88,33,Media,79.84
26,1.62,9,Media,88.06
24,3.43,33,Media,100.0
27,2.22,35,Alta,67.26
19,3.45,25,Baja,100.0
22,2.76,25,Media,80.11
27,2.89,17,Alta,82.63
19,2.83,15,Baja,81.19
27,4.17,15,Media,89.37
24,2.61,21,Media,95.0
19,2.4,23,Media,79.53
26,4.14,28,Baja,88.93
26,4.04,13,Baja,88.41
29,2.62,15,Media,90.84
22,4.7,19,Media,79.11
23,3.84,5,Alta,83.6
28,3.81,24,Media,85.02
19,3.71,29,Media,85.9
23,3.74,8,Alta,85.44
18,3.44,33,Baja,99.68
18,1.57,24,Media,89.05
20,1.76,18,Baja,81.67
29,3.68,31,Media,95.36
28,1.66,21,Media,94.29
29,3.96,39,Media,99.59
24,2.74,35,Baja,93.29
28,3.18,5,Media,97.48
20,2.41,32,Alta,86.04
27,2.6,33,Media,67.48
24,3.0,28,Alta,70.49
24,4.35,19,Media,93.66
28,3.29,20,Alta,79.34
23,2.01,28,Alta,82.09
25,2.26,19,Alta,79.87
27,3.51,12,Alta,80.88
20,2.14,6,Alta,79.68
28,4.18,30,Baja,90.65
20,2.95,7,Baja,78.65
22,1.87,34,Media,69.04
21,3.58,14,Media,81.06
22,3.44,33,Alta,85.13
23,3.18,12,Media,73.0
22,3.34,24,Baja,78.75
21,4.25,25,Alta,86.31
23,3.74,25,Baja,74.49
29,3.07,17,Media,88.39
23,3.24,38,Media,88.84
28,1.13,25,Baja,74.52
18,3.15,10,Media,96.94
27,1.99,25,Alta,80.83
28,2.15,32,Baja,70.46
25,2.75,10,Alta,81.31
27,1.76,17,Alta,93.77
22,4.42,10,Alta,93.7
22,3.22,15,Alta,80.98
28,5.0,8,Alta,82.36
23,3.55,6,Alta,87.04
24,2.93,22,Baja,72.66
18,3.36,29,Alta,91.19
19,1.04,29,Alta,100.0
23,3.37,20,Baja,69.79
21,3.23,25,Alta,83.49
21,2.72,25,Alta,80.93
27,2.0,39,Media,97.48
22,2.76,39,Baja,100.0
25,1.63,9,Baja,83.62
26,2.4,10,Media,62.5
20,2.66,21,Alta,95.43
29,2.26,8,Baja,83.14
26,1.31,24,Media,90.11
23,1.97,17,Baja,78.5
19,1.95,27,Baja,73.26
26,4.68,11,Media,90.15
21,3.26,27,Baja,92.09
23,2.7,37,Alta,76.16
20,2.93,27,Baja,91.34
19,2.49,12,Baja,82.14
27,3.4,15,Media,89.84
21,4.89,14,Alta,94.94
20,2.05,5,Media,98.56
25,1.92,37,Baja,78.78
21,2.14,36,Media,100.0
20,2.55,24,Alta,92.48
28,2.9,16,Media,91.8
29,3.28,36,Media,74.46
28,1.88,36,Media,94.24
24,3.3,29,Media,89.31
27,3.31,8,Alta,82.88
19,2.08,27,Media,100.0
28,2.77,22,Alta,86.5
29,4.08,12,Baja,72.38
22,3.96,11,Baja,88.5
27,3.33,30,Baja,89.37
23,2.91,12,Baja,82.02
29,2.79,29,Baja,82.64
21,5.0,22,Media,94.68
27,2.5,14,Media,84.34
21,3.61,31,Baja,94.72
29,2.01,16,Baja,89.57
26,2.27,21,Baja,89.64
27,3.28,11,Alta,93.58
20,2.91,14,Media,86.13
29,2.58,30,Media,92.38
20,4.28,37,Media,85.41
24,2.07,28,Alta,77.48
25,3.75,33,Media,75.24
29,3.58,39,Media,81.91
22,2.84,10,Alta,77.47
26,2.72,23,Alta,74.93
21,3.01,27,Baja,93.69
28,4.01,9,Media,96.85
28,3.07,34,Media,100.0
23,2.44,9,Media,98.2
28,3.81,18,Alta,90.8
18,3.23,23,Media,100.0
23,2.42,20,Alta,81.77
19,3.26,15,Alta,83.92
20,3.18,14,Media,80.88
24,3.15,10,Alta,80.58
22,3.62,11,Baja,80.88
29,4.12,16,Alta,90.64
20,1.64,9,Baja,85.51
28,2.21,19,Baja,84.74
27,2.32,27,Baja,84.98
24,1.94,27,Alta,100.0
20,2.84,30,Media,89.09
29,2.29,22,Baja,94.92
25,3.48,39,Baja,58.62
25,4.44,17,Media,88.73
29,2.21,13,Alta,80.8
24,3.69,8,Baja,85.81
29,3.26,23,Alta,94.06
23,3.17,7,Media,86.18
18,2.71,9,Alta,79.26
23,1.63,36,Alta,83.02
24,3.26,17,Alta,91.61
21,3.67,14,Media,97.32
29,3.24,36,Media,82.4
25,4.15,10,Alta,77.95
25,2.47,37,Baja,92.08
19,2.2,8,Media,72.4
22,2.55,12,Media,76.68
20,3.38,27,Media,68.89
26,2.33,10,Baja,77.27
29,2.4,14,Baja,78.47
26,1.86,14,Alta,74.29
20,2.97,29,Baja,81.07
25,1.99,29,Baja,81.36
23,3.42,12,Alta,91.49
26,3.06,33,Media,89.24
18,3.13,15,Alta,79.37
20,1.74,37,Alta,70.74
29,4.76,35,Alta,61.83
25,3.89,31,Baja,76.12
28,1.76,34,Alta,97.82
29,1.54,7,Baja,88.63
18,2.11,21,Alta,96.39
27,2.88,20,Alta,89.58
23,2.18,24,Media,85.52
21,3.02,29,Alta,73.8
19,2.28,20,Baja,66.48
22,3.2,38,Baja,80.86
26,2.82,17,Media,95.98
26,3.25,37,Media,85.03
26,2.09,25,Alta,95.93
26,4.03,12,Baja,81.37
18,3.41,19,Media,69.95
29,3.6,7,Baja,100.0
20,4.91,32,Media,79.47
22,3.42,20,Alta,71.09
26,4.14,27,Baja,86.17
20,2.01,30,Alta,96.66
23,2.44,31,Media,91.7
18,2.91,9,Media,79.81
29,4.47,21,Alta,69.8
20,1.97,25,Baja,90.56
21,2.63,31,Alta,87.78
21,2.82,6,Baja,81.99
27,3.3,39,Media,73.04
24,3.84,5,Alta,90.64
29,2.21,10,Baja,74.05
24,2.25,20,Baja,75.13
19,1.48,6,Baja,76.59
26,2.3,6,Alta,77.44
25,3.7,38,Media,94.28
29,2.34,38,Media,77.26
29,3.01,22,Alta,81.71
18,4.09,30,Baja,81.52
28,3.06,17,Baja,84.79
19,3.22,8,Alta,78.27
26,2.72,10,Baja,79.16
27,4.7,26,Baja,74.36
21,2.52,11,Alta,95.31
24,2.68,37,Baja,82.5
19,3.39,24,Alta,100.0
20,3.02,5,Media,89.49
21,4.3,11,Alta,90.82
18,2.79,14,Baja,93.66
18,2.13,20,Baja,76.67
23,2.17,27,Baja,92.77
19,2.34,26,Media,77.97
18,3.49,35,Media,94.87
21,3.64,18,Media,84.48
20,1.73,5,Alta,92.13
19,3.16,12,Baja,79.21
22,4.34,7,Baja,81.86
23,2.56,21,Alta,77.11
19,3.36,14,Alta,84.32
24,3.51,37,Baja,100.0
20,3.8,38,Baja,90.14
27,3.21,9,Media,100.0
28,3.49,28,Baja,85.87
24,4.01,25,Baja,85.14
20,4.77,30,Media,74.1
20,4.24,31,Media,74.74
20,2.99,22,Alta,79.51
19,3.03,24,Media,83.79
26,3.37,19,Alta,87.7
29,2.52,15,Baja,78.05
25,2.81,34,Baja,77.39
27,4.21,13,Media,93.08
26,2.88,22,Baja,74.97
19,3.31,28,Media,68.47
26,2.2,22,Baja,70.09
19,2.33,14,Media,83.02
18,2.37,7,Media,93.71
23,3.39,9,Media,86.9
20,2.69,27,Baja,100.0
25,2.1,10,Alta,91.66
25,1.91,15,Baja,68.22
26,2.7,18,Media,75.58
23,2.77,11,Media,73.56
27,3.42,11,Media,75.33
27,3.18,23,Baja,92.33
28,3.21,25,Alta,74.12
19,3.61,9,Baja,90.28
18,2.32,31,Baja,83.51
28,3.37,9,Baja,83.79
22,2.79,12,Media,68.24
26,3.17,38,Alta,95.49
20,3.64,20,Baja,62.96
24,3.91,12,Baja,69.16
28,4.83,24,Media,92.84
29,1.92,23,Media,85.74
22,2.67,27,Media,70.69
27,2.58,12,Baja,73.33
28,2.62,33,Media,91.04
19,2.66,5,Media,74.14
22,3.31,22,Baja,73.29
29,3.66,37,Alta,86.44
24,3.05,18,Alta,72.22
28,2.86,30,Baja,68.46
22,2.94,32,Baja,86.96
28,2.9,36,Alta,79.68
28,1.45,8,Baja,79.54
29,3.13,12,Media,78.91
26,1.97,18,Baja,86.35
23,3.89,20,Baja,89.07
22,3.3,26,Alta,84.26
21,2.88,13,Baja,75.11
18,3.28,27,Media,77.95
18,2.78,25,Media,91.28
23,3.54,23,Alta,70.81
25,2.96,35,Media,82.09
29,2.21,13,Media,67.9
28,1.83,15,Media,74.91
29,2.74,30,Alta,77.47
20,3.3,25,Alta,77.06
25,3.33,10,Media,89.11
23,3.98,27,Baja,75.12
25,5.0,35,Baja,77.52
18,2.93,24,Alta,86.78
27,4.01,7,Media,88.59
18,1.83,19,Media,98.28
28,3.8,22,Media,66.27
25,2.09,39,Media,71.4
22,3.63,13,Alta,100.0
21,2.33,19,Media,91.88
18,3.09,11,Alta,93.04
21,2.21,6,Baja,67.65
23,2.94,30,Alta,77.23
20,2.86,38,Baja,85.16
18,2.74,35,Media,84.31
20,2.52,32,Baja,81.85
28,3.29,23,Baja,91.15
21,3.19,24,Media,78.42
19,0.31,39,Media,87.45
29,3.02,12,Baja,87.17
26,3.61,37,Baja,81.44
27,3.67,16,Alta,87.61
29,2.48,26,Baja,90.18
23,1.8,30,Media,99.68
21,4.17,19,Baja,86.55
20,3.25,7,Alta,82.04
21,2.19,14,Media,91.45
18,2.47,36,Baja,52.72
23,3.42,12,Media,69.72
20,3.95,19,Media,80.85
21,2.65,24,Baja,86.12
21,2.62,31,Alta,85.56
19,2.64,10,Baja,90.66
24,2.22,5,Media,91.39
19,2.55,13,Alta,93.34
19,2.96,21,Alta,73.56
20,3.48,7,Alta,76.98
28,4.53,12,Alta,74.91
22,3.86,20,Media,72.24
26,2.01,29,Media,78.17
27,3.25,15,Media,75.55
23,3.38,16,Alta,89.12
22,3.23,38,Media,96.29
28,1.85,39,Media,83.78
23,2.47,28,Baja,70.88
19,3.34,18,Alta,84.19
29,3.17,7,Baja,78.57
18,3.42,26,Alta,82.57
22,2.79,17,Media,89.68
28,3.26,9,Alta,73.67
24,2.57,8,Alta,83.28
28,2.05,39,Baja,83.01
26,2.84,23,Media,93.67
18,2.02,25,Media,100.0
27,2.93,17,Alta,63.22
21,3.24,27,Baja,87.04
27,3.75,25,Alta,83.74
28,2.42,16,Alta,62.54
26,3.04,7,Alta,93.04
26,2.1,25,Alta,95.13
29,2.42,33,Alta,84.89
27,3.12,15,Baja,85.17
22,3.98,12,Alta,68.57
19,1.99,39,Media,68.22
26,3.49,33,Media,69.12
26,3.07,18,Alta,86.73
18,4.29,32,Alta,91.0
20,4.2,25,Alta,95.45
20,4.4,13,Media,95.7
18,1.41,5,Baja,87.37
23,2.13,13,Alta,93.4
19,2.33,14,Alta,87.39
28,2.73,30,Baja,71.17
21,3.43,14,Alta,89.36
28,2.58,20,Baja,82.79
20,2.28,24,Baja,93.41
