ID_Ventas,Fecha_de_Ventas,product_id,cantidad_vendida,actual_price,descuento_porcentaje,precio_descontado,total_ventas,ID_Cliente
79,2023-01-03,1053,9,904.23,10.69,807.57,7268.11,2039
80,2023-01-03,1057,3,552.95,7.73,510.21,1530.62,3707
81,2023-01-03,1032,5,752.55,22.06,586.54,2932.69,5965
82,2023-01-03,1064,8,483.58,24.87,363.31,2906.51,6375
83,2023-01-03,1015,10,571.42,23.43,437.54,4375.36,6621
84,2023-01-04,1070,2,594.21,7.69,548.52,1097.03,232
85,2023-01-04,1007,8,355.35,5.87,334.49,2675.93,5048
86,2023-01-04,1020,7,382.89,18.01,313.93,2197.52,8057
87,2023-01-04,1016,3,381.88,13.49,330.36,991.09,304
88,2023-01-04,1056,1,168.71,17.48,139.22,139.22,4180
89,2023-01-04,1022,6,535.63,5.9,504.03,3024.17,799
90,2023-01-04,1071,5,360.99,21.22,284.39,1421.94,7342
91,2023-01-04,1046,3,691.1,6.45,646.52,1939.57,6269
92,2023-01-04,1010,10,440.66,14.03,378.84,3788.35,5586
93,2023-01-04,1022,8,535.63,17.88,439.86,3518.87,5206
94,2023-01-04,1032,6,752.55,15.6,635.15,3810.91,5261
95,2023-01-04,1062,5,401.49,10.95,357.53,1787.63,329
96,2023-01-04,1058,6,258.17,7.93,237.7,1426.18,3290
97,2023-01-04,1017,9,638.97,19.75,512.77,4614.96,5009
98,2023-01-04,1061,9,472.51,12.06,415.53,3739.73,718
99,2023-01-04,1066,1,571.29,16.66,476.11,476.11,4444
100,2023-01-04,1055,9,935.23,16.88,777.36,6996.27,2219
101,2023-01-04,1041,8,709.21,22.59,549.0,4392.0,601
102,2023-01-04,1046,4,691.1,6.66,645.07,2580.29,8282
103,2023-01-04,1049,8,463.03,10.22,415.71,3325.67,3491
104,2023-01-04,1007,6,355.35,6.39,332.64,1995.86,875
105,2023-01-04,1065,8,50.35,22.06,39.24,313.94,3580
106,2023-01-04,1010,8,440.66,15.17,373.81,2990.5,6349
107,2023-01-04,1048,2,443.78,23.36,340.11,680.23,1548
108,2023-01-04,1049,8,463.03,8.86,422.01,3376.04,6977
109,2023-01-04,1005,8,217.83,18.6,177.31,1418.51,1703
110,2023-01-04,1058,3,258.17,8.43,236.41,709.22,7643
111,2023-01-05,1032,5,752.55,19.79,603.62,3018.1,1941
112,2023-01-05,1019,3,57.6,15.91,48.44,145.31,7274
113,2023-01-05,1002,8,180.65,13.89,155.56,1244.46,7533
114,2023-01-05,1031,2,184.08,11.65,162.63,325.27,7356
115,2023-01-05,1009,1,140.95,7.3,130.66,130.66,7512
116,2023-01-05,1068,4,882.43,20.48,701.71,2806.83,2298
117,2023-01-05,1069,4,405.92,10.48,363.38,1453.52,5542
118,2023-01-05,1062,10,401.49,22.53,311.03,3110.34,7223
119,2023-01-05,1068,1,882.43,13.23,765.68,765.68,6047
120,2023-01-05,1058,3,258.17,6.34,241.8,725.41,5399
121,2023-01-05,1035,9,905.13,6.44,846.84,7621.56,7089
122,2023-01-05,1039,7,690.52,21.8,539.99,3779.91,3376
123,2023-01-05,1003,10,869.53,14.6,742.58,7425.79,3692
124,2023-01-05,1027,10,620.47,12.95,540.12,5401.19,2119
125,2023-01-05,1065,6,50.35,16.45,42.07,252.4,3429
126,2023-01-05,1008,3,606.49,6.05,569.8,1709.39,401
127,2023-01-05,1034,10,161.06,21.19,126.93,1269.31,2667
128,2023-01-05,1042,7,827.95,13.9,712.86,4990.05,5938
129,2023-01-05,1029,9,731.48,17.7,602.01,5418.07,8177
130,2023-01-05,1063,8,98.48,18.45,80.31,642.48,6818
131,2023-01-05,1025,10,571.65,19.22,461.78,4617.79,3057
132,2023-01-05,1048,5,443.78,13.26,384.93,1924.67,1448
133,2023-01-05,1038,9,537.23,13.38,465.35,4188.14,3485
134,2023-01-05,1025,8,571.65,12.41,500.71,4005.67,7486
135,2023-01-05,1014,9,197.14,21.95,153.87,1384.81,3242
136,2023-01-05,1051,6,759.47,13.54,656.64,3939.83,851
137,2023-01-05,1016,5,381.88,20.32,304.28,1521.41,1118
138,2023-01-05,1069,9,405.92,21.41,319.01,2871.11,5816
139,2023-01-06,1010,7,440.66,5.75,415.32,2907.25,308
140,2023-01-06,1063,8,98.48,6.69,91.89,735.13,2400
141,2023-01-06,1050,10,460.79,12.54,403.01,4030.07,312
142,2023-01-06,1017,10,638.97,8.04,587.6,5875.97,8126
143,2023-01-06,1049,8,463.03,13.85,398.9,3191.2,1348
144,2023-01-06,1008,4,606.49,11.59,536.2,2144.79,2324
145,2023-01-06,1022,7,535.63,5.02,508.74,3561.19,4827
146,2023-01-06,1006,7,987.11,9.54,892.94,6250.58,6221
147,2023-01-06,1034,9,161.06,11.62,142.34,1281.1,5091
148,2023-01-06,1005,5,217.83,15.27,184.57,922.84,593
149,2023-01-06,1020,6,382.89,24.87,287.67,1725.99,7642
150,2023-01-06,1014,6,197.14,18.55,160.57,963.42,3710
151,2023-01-06,1034,6,161.06,20.1,128.69,772.12,3665
152,2023-01-06,1040,1,322.23,18.47,262.71,262.71,379
153,2023-01-06,1058,9,258.17,10.6,230.8,2077.24,2880
154,2023-01-06,1036,8,811.63,6.7,757.25,6058.01,7365
155,2023-01-06,1014,5,197.14,21.51,154.74,773.68,4193
156,2023-01-06,1053,4,904.23,10.17,812.27,3249.08,6036
157,2023-01-06,1055,7,935.23,12.58,817.58,5723.05,4004
158,2023-01-06,1068,1,882.43,15.17,748.57,748.57,1703
159,2023-01-06,1044,10,160.64,21.77,125.67,1256.69,4068
160,2023-01-06,1035,1,905.13,22.05,705.55,705.55,3055
161,2023-01-06,1028,9,101.95,8.69,93.09,837.81,6830
162,2023-01-06,1004,5,548.03,8.94,499.04,2495.18,4939
163,2023-01-06,1038,10,537.23,5.88,505.64,5056.41,1925
164,2023-01-06,1035,8,905.13,14.57,773.25,6186.02,1438
165,2023-01-06,1070,9,594.21,8.05,546.38,4917.38,3693
166,2023-01-07,1033,9,639.96,18.43,522.02,4698.14,1241
167,2023-01-07,1069,9,405.92,12.58,354.86,3193.7,1136
168,2023-01-07,1015,5,571.42,8.76,521.36,2606.82,909
169,2023-01-07,1035,4,905.13,5.47,855.62,3422.48,3426
170,2023-01-07,1008,8,606.49,8.13,557.18,4457.46,4368
171,2023-01-07,1052,10,388.58,11.72,343.04,3430.38,6174
172,2023-01-07,1049,10,463.03,17.93,380.01,3800.09,1659
173,2023-01-07,1046,9,691.1,18.24,565.04,5085.39,1367
174,2023-01-07,1057,9,552.95,11.5,489.36,4404.25,5730
175,2023-01-07,1060,6,896.25,15.66,755.9,4535.38,6872
176,2023-01-07,1024,8,564.29,9.78,509.1,4072.82,4790
177,2023-01-07,1046,10,691.1,9.12,628.07,6280.72,5527
178,2023-01-07,1049,8,463.03,21.74,362.37,2898.94,1045
179,2023-01-07,1013,3,456.05,12.25,400.18,1200.55,2388
180,2023-01-07,1064,2,483.58,17.34,399.73,799.45,5864
181,2023-01-07,1033,7,639.96,18.53,521.38,3649.63,2203
182,2023-01-07,1048,2,443.78,14.59,379.03,758.06,997
183,2023-01-07,1013,3,456.05,21.51,357.95,1073.86,1692
184,2023-01-07,1045,4,464.66,17.37,383.95,1535.79,3516
185,2023-01-07,1008,6,606.49,12.31,531.83,3190.99,1947
186,2023-01-07,1007,6,355.35,6.83,331.08,1986.48,3391
187,2023-01-07,1013,10,456.05,5.65,430.28,4302.83,7182
188,2023-01-07,1051,9,759.47,21.26,598.01,5382.06,3888
189,2023-01-07,1046,10,691.1,9.01,628.83,6288.32,7294
190,2023-01-07,1051,7,759.47,10.66,678.51,4749.57,3374
191,2023-01-07,1050,1,460.79,20.96,364.21,364.21,3345
192,2023-01-07,1001,9,409.1,11.73,361.11,3250.01,4720
193,2023-01-07,1036,6,811.63,19.83,650.68,3904.1,2407
194,2023-01-08,1046,4,691.1,18.28,564.77,2259.07,5632
195,2023-01-08,1035,3,905.13,12.22,794.52,2383.57,7872
196,2023-01-08,1066,3,571.29,21.84,446.52,1339.56,3066
197,2023-01-08,1017,4,638.97,21.91,498.97,1995.89,3020
198,2023-01-08,1017,4,638.97,16.45,533.86,2135.44,7074
199,2023-01-08,1016,7,381.88,7.27,354.12,2478.82,7835
200,2023-01-08,1005,10,217.83,6.5,203.67,2036.71,2195
201,2023-01-08,1009,4,140.95,18.87,114.35,457.41,8312
202,2023-01-08,1041,9,709.21,20.89,561.06,5049.5,7156
203,2023-01-08,1047,10,364.95,15.92,306.85,3068.5,3842
204,2023-01-08,1058,10,258.17,7.53,238.73,2387.3,1806
205,2023-01-08,1058,6,258.17,6.61,241.1,1446.63,5032
206,2023-01-08,1052,1,388.58,14.97,330.41,330.41,1027
207,2023-01-08,1054,3,272.56,18.86,221.16,663.47,6206
208,2023-01-08,1040,10,322.23,8.56,294.65,2946.47,4042
209,2023-01-08,1037,8,561.23,20.1,448.42,3587.38,2385
210,2023-01-08,1052,6,388.58,19.93,311.14,1866.82,128
211,2023-01-08,1016,1,381.88,20.1,305.12,305.12,4641
212,2023-01-08,1022,5,535.63,6.74,499.53,2497.64,1120
213,2023-01-08,1027,2,620.47,6.04,582.99,1165.99,5537
214,2023-01-08,1007,1,355.35,21.58,278.67,278.67,4155
215,2023-01-08,1038,8,537.23,11.22,476.95,3815.62,2361
216,2023-01-08,1050,10,460.79,17.67,379.37,3793.68,867
217,2023-01-08,1040,3,322.23,12.14,283.11,849.33,1625
218,2023-01-08,1046,2,691.1,5.11,655.78,1311.57,6361
219,2023-01-08,1033,10,639.96,5.42,605.27,6052.74,1364
220,2023-01-08,1059,8,840.59,22.65,650.2,5201.57,5206
221,2023-01-09,1048,2,443.78,12.34,389.02,778.04,5246
222,2023-01-09,1015,2,571.42,21.21,450.22,900.44,8112
223,2023-01-09,1003,5,869.53,16.24,728.32,3641.59,2314
224,2023-01-09,1005,10,217.83,10.33,195.33,1953.28,799
225,2023-01-09,1062,10,401.49,7.9,369.77,3697.72,6578
226,2023-01-09,1021,10,393.65,23.76,300.12,3001.19,7924
227,2023-01-09,1049,9,463.03,12.11,406.96,3662.61,7009
228,2023-01-09,1026,4,602.31,14.91,512.51,2050.02,3339
229,2023-01-09,1039,4,690.52,20.39,549.72,2198.89,3783
230,2023-01-09,1061,9,472.51,10.18,424.41,3819.68,7382
231,2023-01-09,1004,8,548.03,22.65,423.9,3391.21,5385
232,2023-01-09,1035,6,905.13,11.11,804.57,4827.42,900
233,2023-01-09,1019,5,57.6,5.76,54.28,271.41,7992
234,2023-01-09,1069,5,405.92,5.6,383.19,1915.94,5598
235,2023-01-09,1006,1,987.11,23.39,756.22,756.22,5226
236,2023-01-09,1059,5,840.59,8.3,770.82,3854.11,4043
237,2023-01-09,1059,6,840.59,7.43,778.13,4668.8,3501
238,2023-01-09,1015,3,571.42,19.38,460.68,1382.04,3412
239,2023-01-09,1006,10,987.11,16.1,828.19,8281.85,6650
240,2023-01-09,1045,10,464.66,17.88,381.58,3815.79,5346
241,2023-01-09,1022,8,535.63,6.9,498.67,3989.37,4681
242,2023-01-09,1004,8,548.03,22.43,425.11,3400.85,4156
243,2023-01-09,1015,2,571.42,16.36,477.94,955.87,2799
244,2023-01-09,1064,4,483.58,14.79,412.06,1648.23,6261
245,2023-01-09,1023,5,747.57,13.77,644.63,3223.15,5627
246,2023-01-09,1002,3,180.65,6.76,168.44,505.31,5651
247,2023-01-09,1005,1,217.83,16.37,182.17,182.17,2634
248,2023-01-09,1054,9,272.56,14.3,233.58,2102.26,611
249,2023-01-10,1050,10,460.79,5.0,437.75,4377.5,7654
250,2023-01-10,1068,8,882.43,24.75,664.03,5312.23,6146
251,2023-01-10,1069,5,405.92,24.45,306.67,1533.36,7449
252,2023-01-10,1068,2,882.43,15.82,742.83,1485.66,1496
253,2023-01-10,1059,3,840.59,11.21,746.36,2239.08,2664
254,2023-01-10,1009,2,140.95,21.15,111.14,222.28,6164
255,2023-01-10,1063,7,98.48,23.6,75.24,526.67,6958
256,2023-01-10,1029,3,731.48,23.88,556.8,1670.41,4403
257,2023-01-10,1002,4,180.65,7.06,167.9,671.58,850
258,2023-01-10,1028,8,101.95,7.62,94.18,753.45,5620
259,2023-01-10,1014,8,197.14,16.73,164.16,1313.27,7846
260,2023-01-10,1054,6,272.56,10.46,244.05,1464.3,6228
261,2023-01-10,1058,6,258.17,15.57,217.97,1307.84,5196
262,2023-01-10,1065,7,50.35,23.73,38.4,268.81,8200
263,2023-01-10,1037,10,561.23,8.7,512.4,5124.03,2361
264,2023-01-10,1041,1,709.21,8.15,651.41,651.41,6908
265,2023-01-10,1054,8,272.56,17.42,225.08,1800.64,5184
266,2023-01-10,1046,5,691.1,7.7,637.89,3189.43,5560
267,2023-01-10,1017,2,638.97,10.89,569.39,1138.77,4914
268,2023-01-10,1016,9,381.88,17.15,316.39,2847.49,8321
269,2023-01-10,1062,2,401.49,23.52,307.06,614.12,1380
270,2023-01-10,1043,5,124.64,21.81,97.46,487.28,5965
271,2023-01-10,1067,9,865.32,11.86,762.69,6864.24,6472
272,2023-01-10,1046,10,691.1,15.12,586.61,5866.06,5635
273,2023-01-10,1069,2,405.92,5.69,382.82,765.65,6183
274,2023-01-10,1017,5,638.97,6.5,597.44,2987.18,6304
275,2023-01-10,1009,5,140.95,23.22,108.22,541.11,5862
276,2023-01-11,1042,6,827.95,16.6,690.51,4143.06,2722
277,2023-01-11,1054,9,272.56,24.97,204.5,1840.52,4022
278,2023-01-11,1038,1,537.23,18.53,437.68,437.68,2002
279,2023-01-11,1047,7,364.95,15.21,309.44,2166.09,8159
280,2023-01-11,1053,2,904.23,7.58,835.69,1671.38,6572
281,2023-01-11,1043,7,124.64,17.03,103.41,723.9,6873
282,2023-01-11,1011,5,621.19,15.69,523.73,2618.63,957
283,2023-01-11,1013,7,456.05,19.12,368.85,2581.97,3668
284,2023-01-11,1028,8,101.95,23.94,77.54,620.35,6283
285,2023-01-11,1044,10,160.64,16.43,134.25,1342.47,7662
286,2023-01-11,1006,1,987.11,19.27,796.89,796.89,7519
287,2023-01-11,1017,8,638.97,21.27,503.06,4024.49,4247
288,2023-01-11,1008,9,606.49,17.84,498.29,4484.63,401
289,2023-01-11,1027,8,620.47,14.8,528.64,4229.12,41
290,2023-01-11,1049,1,463.03,6.21,434.28,434.28,2188
291,2023-01-11,1019,10,57.6,11.89,50.75,507.51,6677
292,2023-01-11,1008,7,606.49,19.63,487.44,3412.05,7222
293,2023-01-11,1031,6,184.08,15.07,156.34,938.03,6603
294,2023-01-11,1051,1,759.47,15.97,638.18,638.18,1130
295,2023-01-11,1066,5,571.29,21.39,449.09,2245.46,2055
296,2023-01-11,1038,5,537.23,8.36,492.32,2461.59,1914
297,2023-01-11,1056,10,168.71,20.95,133.37,1333.65,7031
298,2023-01-11,1028,9,101.95,17.47,84.14,757.25,5305
299,2023-01-11,1022,10,535.63,10.56,479.07,4790.67,1569
300,2023-01-11,1014,9,197.14,7.05,183.24,1649.17,1258
301,2023-01-11,1004,7,548.03,11.54,484.79,3393.51,3960
302,2023-01-11,1041,5,709.21,15.34,600.42,3002.09,34
303,2023-01-11,1010,10,440.66,11.1,391.75,3917.47,2051
304,2023-01-12,1063,4,98.48,6.9,91.68,366.74,623
305,2023-01-12,1030,2,180.64,24.98,135.52,271.03,4697
306,2023-01-12,1023,1,747.57,7.65,690.38,690.38,3748
307,2023-01-12,1069,8,405.92,15.15,344.42,2755.38,4057
308,2023-01-12,1007,3,355.35,23.06,273.41,820.22,4913
309,2023-01-12,1039,8,690.52,11.62,610.28,4882.25,6836
310,2023-01-12,1052,3,388.58,23.59,296.91,890.74,5078
311,2023-01-12,1059,8,840.59,6.84,783.09,6264.75,4462
312,2023-01-12,1024,4,564.29,5.34,534.16,2136.63,3815
313,2023-01-12,1014,6,197.14,19.73,158.24,949.47,7773
314,2023-01-12,1040,8,322.23,7.01,299.64,2397.13,4259
315,2023-01-12,1001,3,409.1,21.42,321.47,964.41,3005
316,2023-01-12,1042,6,827.95,7.93,762.29,4573.76,5551
317,2023-01-12,1020,3,382.89,17.67,315.23,945.7,5820
318,2023-01-12,1052,4,388.58,15.13,329.79,1319.15,7931
319,2023-01-12,1012,3,980.62,24.51,740.27,2220.81,3954
320,2023-01-12,1009,10,140.95,8.56,128.88,1288.85,4204
321,2023-01-12,1032,9,752.55,22.56,582.77,5244.97,6570
322,2023-01-12,1015,2,571.42,18.29,466.91,933.81,6062
323,2023-01-12,1009,3,140.95,24.0,107.12,321.37,7435
324,2023-01-12,1004,5,548.03,20.43,436.07,2180.34,1918
325,2023-01-12,1041,4,709.21,17.87,582.47,2329.9,1785
326,2023-01-12,1024,7,564.29,18.69,458.82,3211.77,2868
327,2023-01-12,1029,2,731.48,7.58,676.03,1352.07,641
328,2023-01-12,1067,7,865.32,23.43,662.58,4638.03,2403
329,2023-01-12,1053,6,904.23,21.41,710.63,4263.81,3747
330,2023-01-12,1014,4,197.14,13.29,170.94,683.76,3686
331,2023-01-13,1010,1,440.66,20.37,350.9,350.9,1760
332,2023-01-13,1014,5,197.14,15.17,167.23,836.17,2511
333,2023-01-13,1070,6,594.21,8.11,546.02,3276.12,4159
334,2023-01-13,1010,9,440.66,15.78,371.12,3340.11,7189
335,2023-01-13,1006,7,987.11,22.12,768.76,5381.33,670
336,2023-01-13,1037,1,561.23,7.84,517.23,517.23,4281
337,2023-01-13,1012,10,980.62,14.44,839.02,8390.18,299
338,2023-01-13,1056,9,168.71,11.47,149.36,1344.23,5686
339,2023-01-13,1027,3,620.47,21.65,486.14,1458.41,1264
340,2023-01-13,1067,7,865.32,23.11,665.34,4657.41,7079
341,2023-01-13,1028,7,101.95,20.11,81.45,570.13,250
342,2023-01-13,1062,1,401.49,20.41,319.55,319.55,413
343,2023-01-13,1037,8,561.23,23.96,426.76,3414.07,7610
344,2023-01-13,1052,10,388.58,21.82,303.79,3037.92,478
345,2023-01-13,1018,7,794.15,14.47,679.24,4754.66,2630
346,2023-01-13,1013,2,456.05,21.03,360.14,720.29,447
347,2023-01-13,1008,1,606.49,7.52,560.88,560.88,105
348,2023-01-13,1070,2,594.21,6.86,553.45,1106.89,6006
349,2023-01-13,1049,6,463.03,15.47,391.4,2348.4,3320
350,2023-01-13,1006,7,987.11,16.26,826.61,5786.24,8031
351,2023-01-13,1010,1,440.66,21.75,344.82,344.82,7902
352,2023-01-13,1016,8,381.88,21.2,300.92,2407.37,5329
353,2023-01-13,1026,1,602.31,18.93,488.29,488.29,4257
354,2023-01-13,1033,4,639.96,6.6,597.72,2390.89,7783
355,2023-01-13,1033,9,639.96,15.96,537.82,4840.4,7069
356,2023-01-13,1012,2,980.62,6.46,917.27,1834.54,2120
357,2023-01-13,1060,7,896.25,8.48,820.25,5741.74,8316
358,2023-01-13,1019,5,57.6,6.18,54.04,270.2,171
359,2023-01-14,1055,5,935.23,17.47,771.85,3859.23,1041
360,2023-01-14,1066,9,571.29,14.27,489.77,4407.9,6182
361,2023-01-14,1027,1,620.47,20.64,492.4,492.4,4648
362,2023-01-14,1053,5,904.23,17.68,744.36,3721.81,6828
363,2023-01-14,1019,10,57.6,9.55,52.1,520.99,4955
364,2023-01-14,1021,7,393.65,12.1,346.02,2422.13,5660
365,2023-01-14,1028,5,101.95,6.29,95.54,477.69,6790
366,2023-01-14,1002,7,180.65,5.52,170.68,1194.75,7960
367,2023-01-14,1031,1,184.08,10.34,165.05,165.05,6151
368,2023-01-14,1030,4,180.64,10.88,160.99,643.95,7357
369,2023-01-14,1061,2,472.51,23.24,362.7,725.4,4792
370,2023-01-14,1022,9,535.63,5.39,506.76,4560.84,5769
371,2023-01-14,1050,8,460.79,13.24,399.78,3198.25,8320
372,2023-01-14,1028,4,101.95,20.0,81.56,326.24,4336
373,2023-01-14,1025,5,571.65,10.26,513.0,2564.99,1860
374,2023-01-14,1062,2,401.49,21.9,313.56,627.13,8030
375,2023-01-14,1046,1,691.1,12.28,606.23,606.23,6700
376,2023-01-14,1021,8,393.65,5.34,372.63,2981.03,6716
377,2023-01-14,1013,10,456.05,20.08,364.48,3644.75,7766
378,2023-01-14,1071,5,360.99,16.64,300.92,1504.61,3834
379,2023-01-14,1031,10,184.08,12.68,160.74,1607.39,4366
380,2023-01-14,1044,7,160.64,14.5,137.35,961.43,4710
381,2023-01-14,1064,2,483.58,19.14,391.02,782.05,6334
382,2023-01-14,1047,8,364.95,22.23,283.82,2270.57,7986
383,2023-01-14,1070,1,594.21,14.57,507.63,507.63,7156
384,2023-01-14,1018,6,794.15,7.26,736.49,4418.97,7056
385,2023-01-14,1025,10,571.65,5.84,538.27,5382.66,1915
386,2023-01-15,1064,10,483.58,17.93,396.87,3968.74,1198
387,2023-01-15,1007,9,355.35,16.62,296.29,2666.62,358
388,2023-01-15,1010,9,440.66,15.86,370.77,3336.94,1818
389,2023-01-15,1048,6,443.78,6.85,413.38,2480.29,4403
390,2023-01-15,1013,9,456.05,15.9,383.54,3451.84,4947
391,2023-01-15,1069,7,405.92,13.5,351.12,2457.85,1906
392,2023-01-15,1067,7,865.32,15.9,727.73,5094.14,61
393,2023-01-15,1019,10,57.6,12.0,50.69,506.88,1305
394,2023-01-15,1015,2,571.42,16.37,477.88,955.76,29
395,2023-01-15,1071,4,360.99,16.6,301.07,1204.26,5220
396,2023-01-15,1033,2,639.96,21.11,504.86,1009.73,7798
397,2023-01-15,1007,8,355.35,19.87,284.74,2277.94,2786
398,2023-01-15,1031,2,184.08,17.1,152.6,305.2,607
399,2023-01-15,1065,8,50.35,11.77,44.42,355.39,1091
400,2023-01-15,1013,1,456.05,18.33,372.46,372.46,7376
401,2023-01-15,1051,7,759.47,8.7,693.4,4853.77,5001
402,2023-01-15,1025,4,571.65,7.7,527.63,2110.53,1385
403,2023-01-15,1004,7,548.03,14.09,470.81,3295.69,7542
404,2023-01-15,1069,2,405.92,12.76,354.12,708.25,7684
405,2023-01-15,1007,5,355.35,6.26,333.11,1665.53,3374
406,2023-01-15,1002,7,180.65,21.98,140.94,986.6,3849
407,2023-01-15,1056,6,168.71,9.35,152.94,917.61,2185
408,2023-01-15,1056,1,168.71,6.22,158.22,158.22,4327
409,2023-01-15,1040,2,322.23,10.63,287.98,575.95,4230
410,2023-01-15,1009,7,140.95,11.47,124.78,873.48,8088
411,2023-01-15,1013,5,456.05,17.51,376.2,1880.98,2685
412,2023-01-15,1064,7,483.58,19.35,390.01,2730.05,3910
