default,student,balance,income
No,Yes,1676.3167504913056,21856.944764537093
No,No,1372.3433721793635,28618.1362193042
No,No,969.5656833503458,30842.487591121557
No,No,968.7377816391922,24012.15914423047
No,Yes,1163.488698782751,15270.384130502995
No,Yes,1548.7487744913903,23737.310296726788
No,Yes,1275.3481731975592,24248.81025093345
No,Yes,410.30294915881734,25017.12974928231
No,Yes,662.0392707380736,23212.40429976364
Yes,Yes,3262.3354551477537,22868.383977953472
No,No,92.59372762850808,21469.239892435387
No,Yes,541.7422605453395,20038.417387239715
No,Yes,1682.310026893582,24578.92215662171
No,No,361.30673049433466,28112.588421453176
No,No,1082.7917153396893,36421.68651847224
No,No,690.4778553587421,32147.904868698464
No,Yes,460.3415601742283,22449.558374198354
No,No,72.40448684846345,35572.687531302145
No,No,767.6610079741872,38351.43095648238
No,Yes,402.53247431176527,28406.148371074152
No,No,609.154950109923,53330.42558350523
No,Yes,1155.5044655643724,29496.473322168004
No,Yes,1465.3499032065974,13086.892524840985
No,Yes,540.3035307715314,15862.96503360528
No,No,383.0006461296671,30753.532084670504
No,Yes,245.4269174055824,18109.580832203654
No,No,1261.8516289585666,37404.968604816444
Yes,No,2472.6903902034437,38465.92351190301
No,No,1354.590553279867,28664.87411463415
No,No,1558.2404210570803,45396.75198185023
No,Yes,436.7203658507116,33629.40008593076
No,No,923.1206660222692,15381.720575444022
No,Yes,1382.433359501173,13447.854318298092
No,No,265.2554389725285,44472.40151559497
No,No,1914.8608585063848,42198.28985400034
No,No,167.28537344039333,38526.51817603321
No,No,1722.2628063583138,33609.39742575924
No,Yes,199.33542129452198,22728.182311413555
No,Yes,332.898076773492,27206.19603399141
No,No,934.900197254535,35264.766424794914
No,Yes,844.0390263705341,32604.05894883331
No,No,486.8306532708044,26687.560515058773
Yes,No,1866.857522155936,33679.9546185486
No,No,209.98907524082315,42403.353149820694
No,No,591.3168802238639,35144.18187125077
No,Yes,1222.7496434394743,28162.11534706019
No,No,822.5523640820127,40086.2180874875
No,No,394.0358284807838,29251.590172365773
No,No,406.2842335861747,23293.32270098202
No,No,1208.6799689035092,26022.169602812988
No,No,1247.476527546308,22662.335631625116
No,No,838.2795331315426,14940.152523368448
No,Yes,388.40252983945106,31092.329548710175
No,No,417.21355676467556,14639.7699313167
No,No,655.9312753854111,52114.60224679264
No,No,729.108229567289,28222.12668389461
No,No,990.9744473912355,30716.446837808053
No,Yes,681.1330668687261,12845.74550646592
No,No,1190.2048930008884,37345.66853942068
No,No,1181.1791314698053,30891.077305132014
No,No,1593.5814732314097,34110.97635289099
No,Yes,813.0863180337396,17940.135147758137
No,Yes,1018.1610441727867,26815.71041232387
No,No,601.6940826456394,25260.825927158992
No,No,327.1178730067996,34287.66229637341
Yes,No,2436.038487934052,38119.817108954856
No,Yes,1753.6400294443392,33609.16332410209
No,No,1164.7371713807534,41559.009431107836
No,No,660.3624370768761,34398.79120402148
No,No,302.37924168438417,33420.31975138786
No,No,1307.6375638212812,36634.120526638486
No,No,593.5735162811352,41167.12116132221
No,No,903.4465270889259,26056.882122428928
No,No,415.8761808225893,42532.09334131231
No,No,801.3367006579946,24130.057710799578
No,No,437.65282504809807,38063.13057958691
No,No,451.8078079066811,38914.27130575203
No,No,793.8197513000706,26784.349119994207
No,Yes,196.35142804507612,12653.335740876155
No,No,171.98763144324823,30854.309673956814
No,No,360.22977516116856,7201.291647409009
No,Yes,674.8872741845083,22201.44982621248
No,No,1214.8771651545148,21017.594165471222
No,No,587.4385265340013,64632.516778982914
No,No,657.1521496958034,44086.95226424739
No,No,528.4378173525675,34221.995282497126
No,No,847.5898118954607,46824.10058420715
No,No,324.23182349068986,40550.35107334628
No,Yes,734.4786883205197,15305.22111610647
No,Yes,1075.6439004348374,19071.949386002634
No,No,789.2123232930414,43794.67008225997
No,Yes,807.8286238284397,16726.237964860367
No,No,679.4039350185266,37453.18053320852
No,No,958.3161307247091,40247.579975700544
Yes,No,2511.279678751579,30893.56663944875
No,No,343.73473334086754,35023.298894487925
Yes,No,2557.3409307140223,41817.93925295732
No,No,330.3158445317144,41340.89632412474
No,No,61.405398111592426,37981.773271809376
No,Yes,516.427204537516,23359.31956201967
No,No,859.1797043341403,39373.55771753232
Yes,No,2180.638726392082,13284.63715296777
No,No,302.02566734085946,48255.79629688038
No,No,954.3232382411139,32174.426803599144
No,Yes,229.07517343197082,18305.22855926296
Yes,Yes,2556.1870503841005,27646.247430376217
No,Yes,1776.038309285065,27450.007327725376
No,Yes,543.0604127312691,16615.01385815922
No,No,1638.6771164313266,34175.39779069946
No,No,609.2505509244827,33873.35077110712
No,No,1531.9282450678695,33220.830760325196
No,Yes,803.2538032763281,34818.138596308505
No,No,691.2228210711178,33298.44663652671
No,No,460.2155517209711,32200.952685015287
No,No,1042.8034165906251,26696.322335101446
No,No,730.7365122265239,25251.604792742673
No,No,969.1703779284928,37420.42581918534
No,Yes,176.1857944766268,20161.259373479585
No,No,1568.0522962378063,31620.706231992604
Yes,Yes,2197.5797564695795,24837.179382275775
No,Yes,873.8431626389607,23895.82616825153
Yes,Yes,2876.979188114348,24394.72739840799
Yes,Yes,2455.2199950773497,24369.217832120376
No,No,1058.5567366131984,39746.00518224056
No,Yes,1983.117423377404,41937.21545063732
No,No,1376.2096993025991,45793.10691907974
No,Yes,130.14225643377264,20913.96927215433
No,No,536.9985275783786,45655.068050230795
No,No,1110.0923094238947,22962.092026574544
No,No,1910.902919351418,27837.424310739305
No,No,177.77756732574102,40568.829212666526
No,Yes,140.63475455115744,28181.064855562236
No,Yes,766.0696772433106,27660.75212959523
No,No,67.5451381583616,27597.02114828403
No,No,621.6961376920074,27665.562235389174
No,Yes,1049.3541681460492,24368.06009925309
No,No,289.5703182091965,30977.102716293874
No,Yes,761.7843801452001,29667.23022909445
No,No,1291.5390704865547,30726.659797993358
No,No,428.62163080043416,30431.872039096575
No,Yes,402.3944628963483,12069.111119914818
No,No,612.9097562162856,42253.302341145856
No,No,262.2346814957836,36723.7737229452
Yes,Yes,2739.556799775438,7447.982276044625
No,Yes,822.0515906710154,26565.130619359552
No,Yes,440.0167234960329,20641.761661958168
No,No,783.3828366246642,41259.43078736839
No,No,610.3267923220051,32448.901268869093
No,No,558.9449840778229,25456.256041981644
No,No,428.527957879046,50790.472561926304
No,Yes,493.6000367593152,34453.77589771332
No,No,150.41407549686204,31643.20407815716
No,No,1650.9362731091248,37226.386387632
No,Yes,1213.1053969687514,20235.417226253372
No,Yes,1008.7901552059104,11504.576106240022
No,No,602.768008400419,46676.97681972382
No,No,284.9567502643488,25522.585015435143
No,Yes,416.87891135124045,32364.785113828817
No,No,168.9110495713396,40472.2817939583
No,Yes,462.50022690942404,25460.116566473247
No,Yes,299.5268897851676,23163.58372751745
Yes,No,1972.5386149702033,40514.41383817183
No,No,1233.4460010343087,24195.91016059783
No,No,707.4229174273889,46844.1689954559
No,No,313.47766940630646,34932.07707772997
No,No,261.67955340434077,48450.24519636157
No,Yes,687.7530865355808,22593.827367515067
No,Yes,1522.1204772721778,24447.527290704085
No,No,173.85607799859326,36138.9251849658
No,Yes,1202.025785268502,27482.024150089885
No,No,383.9602393267405,51608.73233594492
No,Yes,534.5142705917812,20383.51756853304
No,No,692.0383516372397,32220.98091501498
No,No,323.04551336775353,33307.64910881074
No,No,550.7306878583519,10345.546626343825
No,No,299.2473756969189,27950.93130011334
No,No,410.9767627413497,28601.525768681637
No,Yes,1365.3330251478658,41916.71873205943
No,No,719.2884833828778,36084.706853722215
No,Yes,1361.7925564335906,26904.376232803195
No,No,379.69326321289094,18813.34473340819
No,No,1006.8654841946827,32872.721210203024
No,No,129.92021899475134,42860.98644577582
No,Yes,830.1686285736846,41066.52589055706
No,No,1053.7962023389905,26657.02020596133
No,No,124.11122219694508,15344.207102104854
No,Yes,460.24049587300334,18022.426907893976
No,No,691.4440084887257,25786.738584426377
No,No,1333.0242464383882,25880.22768293352
No,No,410.93167744558247,42575.07062970626
No,No,979.3885759252202,36927.84043823959
No,No,1722.5499585895539,22215.812423469462
No,Yes,1213.5268027963975,33363.42325458777
No,Yes,680.6584905252048,36701.253017824645
No,No,877.2788255021443,16449.912272615406
No,No,400.88137611860503,45276.479844929934
No,No,712.3885964181279,31798.819247687745
No,No,589.4633789338715,24079.86669881433
No,No,856.6422324160716,18948.050042064766
No,No,475.79151861314307,28972.15048363013
No,No,891.8108381230894,28281.445421028457
No,No,472.0454167270149,34974.936275113345
No,Yes,1470.3367549096745,38472.29876471535
No,Yes,614.5000218153926,19894.550714828547
No,No,70.88915629620541,19434.357567202664
No,Yes,323.80246635626827,21138.749976608684
No,No,676.2231800421085,43920.06994360268
No,No,1961.1679715041316,31023.18541903499
No,Yes,1431.8869688503212,28010.340726952578
No,Yes,63.20144733049467,24639.97229030522
No,No,157.5289528428496,34111.64883156658
No,No,1448.8918026529855,49372.25753825556
No,Yes,1259.6757571958701,16673.082935233422
Yes,No,2661.0731202365687,23093.404205828185
No,No,456.4763789139394,24412.06532804427
No,Yes,380.4761480760563,25867.255802292275
No,No,704.3104157576254,34034.31752655435
No,No,449.17569776999375,40601.30029438475
No,Yes,1630.5586478186576,22917.669677112583
No,No,436.4551768524917,31543.972375722395
No,No,536.7892881065385,36791.56550843221
No,No,278.2058813937688,50464.582202444304
No,No,1138.9559709777143,21877.083517991923
No,No,294.84864349301387,24298.436859017827
No,No,903.7649370352838,33910.9735191045
Yes,No,2181.3499558275967,53824.73661137329
No,No,105.40605825145668,22783.508463316066
Yes,No,1776.0646725392473,33400.0468762216
No,No,821.9446601657946,24725.979840139844
No,No,238.00290180854904,37481.7878801531
No,No,724.7685483454718,12857.377275545783
No,No,1116.069516787954,23138.282784122162
No,No,336.11265623706197,46283.442016559304
No,Yes,1129.166588748308,23515.249364572464
Yes,Yes,2249.0675256216505,18232.589934651485
No,No,435.9884066389947,33041.889556819195
No,No,275.0912846859078,32867.04741134201
No,No,603.7973879427904,39108.080651609904
No,No,695.8589088109259,12742.152349534048
No,No,1406.3719632427176,23133.326838474568
No,No,588.3553350676069,23951.257689494385
No,No,469.63054979544506,39794.2124708343
No,Yes,322.44196171181807,23405.827454346883
No,No,125.23648964137155,47905.99892079389
No,Yes,237.3218029458904,29253.9903639087
No,No,196.59495267886115,30040.952777959963
No,No,541.3985479029369,33004.53982204479
No,No,152.7316857226906,46438.84641433679
No,Yes,766.8241669051195,33482.503953130916
Yes,No,2149.817647492238,32543.205042436075
No,No,1434.049615219002,23649.62864338226
No,No,537.230199513951,12491.364599437791
Yes,Yes,3688.870067542988,8742.280118229512
No,No,697.7168939890375,38220.82595274209
No,No,774.2780654298831,38019.90100944518
No,Yes,713.8360848367585,18722.22459118296
No,No,649.8955843363573,46514.869442559946
No,No,423.5764743312337,31430.57340474889
No,No,543.4752199470903,27616.026527642574
No,Yes,2140.7574968887857,31648.132936852664
No,No,1539.3759078404353,43885.605581135336
No,No,66.87977761264278,32984.04113304237
No,Yes,206.37312393373213,27072.716739072606
No,No,340.27024031711784,39937.137296826215
No,Yes,1531.1783605223584,38676.868152159186
No,No,1562.4678954873896,32189.795759575005
No,No,1113.0910470641593,21701.283194525608
No,No,237.07823429993243,39754.78388177265
No,Yes,516.9989281905839,23885.505520999723
No,No,952.6551835858978,34623.183599616525
No,No,550.1047207746276,33187.770411761296
No,No,491.23783242547415,17586.753932781277
No,Yes,596.5172316365016,25279.653462243597
No,No,1462.4291251587729,29908.438123386873
No,No,1022.2395750189309,30409.319777636374
No,Yes,623.1036848661845,20662.760143964966
No,Yes,1019.5929623200763,23175.591651115727
No,No,206.82603240849255,36104.49925169518
No,Yes,517.8318532564853,23244.86138330035
No,No,1368.342178958977,45048.15119513598
No,No,142.6220730800089,41061.67799589821
No,No,1031.1292105705238,32768.999643358315
No,No,65.93224251005968,23146.241080883985
Yes,Yes,2378.9626328176696,27513.697042424872
No,Yes,507.607707777966,21245.660996572526
No,No,894.7506390464406,31792.549116653365
No,Yes,872.8924820931534,14219.204573516645
No,No,747.3332091869036,37635.708163086034
No,No,838.5817194897941,59433.85745449351
No,Yes,139.3192696802185,19905.993577497477
No,Yes,910.6213326015142,27808.21636720974
No,No,576.0999287595301,45958.59081188345
No,No,424.9768002906464,28270.22899536854
No,No,340.10930692152203,9248.108463227189
No,No,773.0009707935386,40455.11493263333
No,No,278.31863301901024,34293.11476402807
No,No,1351.8506446597387,36613.34182250714
No,No,941.7060254620393,34048.95598514712
No,Yes,969.3751324855718,31568.623538626412
No,No,1313.7735231547606,32524.767743180506
No,No,96.29703689815935,55208.8440485843
No,Yes,240.1954757361686,28336.34480820376
No,No,971.3059374876732,43614.85294566596
No,Yes,429.2818154646214,23495.986745611383
No,No,398.11655401685607,36608.45505515276
No,No,172.1556636389218,16603.64545552968
No,No,279.0402483966621,27730.147324529025
Yes,No,1372.2094603269763,44276.53962905386
No,No,955.2409685234771,32831.25695955151
No,No,766.7433485488498,22251.216946087534
No,No,411.4008897252707,26657.914251759084
No,No,731.6779594798244,26577.175306142817
Yes,No,1453.6791641586626,33110.77045819907
No,Yes,438.5827298531454,17610.565232648732
No,Yes,778.513706721649,33411.43126306126
Yes,Yes,2475.5074986630957,24907.43576068186
No,No,1103.0048876601938,19544.8531362712
No,No,416.3505574064014,48861.40701893776
No,No,1042.0799243062913,33042.16884039716
No,Yes,168.15057318171893,26991.951465975908
No,No,628.9633882016625,36567.413093760944
No,No,1041.2887116547279,37674.220312496065
No,No,882.9040481930647,30064.909708999436
No,No,1034.2926825774182,36807.62893258412
No,No,1196.6807085498747,32007.633851682807
No,Yes,1119.6121243981236,25984.733436601007
No,Yes,1096.8481095628802,22149.91008217995
No,No,779.7701531334479,30599.583123305365
No,No,249.73760229252883,18879.67190909933
No,No,1371.8009457860285,33447.955657983286
No,No,646.4483775397321,35746.13666556653
No,Yes,1300.9800984563092,36392.11838837575
Yes,No,1278.0571357492277,38293.66006638324
No,Yes,520.934714147556,18377.224303130522
No,No,466.5240718897656,23353.223747102697
No,No,519.4167203735359,36174.37880005128
No,No,1548.1169574181058,26050.52340643556
No,Yes,363.8242883957535,19470.66218901662
Yes,No,1727.8150575166699,26018.738840507576
No,Yes,928.0865142233597,21149.892537910357
No,Yes,977.1577923417143,28602.856326636378
No,Yes,1487.610688186225,9521.135448116682
No,Yes,852.08049983484,32512.549470244838
No,No,1382.1254230239629,31458.638225102382
No,No,433.62993401618854,27159.17652113996
No,No,1691.408986878452,42377.6025567464
No,No,462.05848916720777,31437.498905532477
No,Yes,2080.877724329372,16122.006740305167
No,No,472.37272319492723,18281.664275493138
No,No,531.4839713210055,40454.44736392554
No,Yes,325.142134630192,28768.162227407498
No,No,343.5853349659397,29369.515111651745
No,No,648.9153945173279,46713.24861379973
No,No,795.0762796460532,33858.30944414327
No,Yes,1578.117812536346,32746.03420040036
No,No,562.1563530779204,23926.323682838403
No,Yes,1061.1386940693476,15891.426978819649
No,No,756.369318251422,28363.50696318993
No,Yes,1145.606740721752,20653.04941657973
No,No,388.59098111404353,45010.86860312011
No,No,428.33728896761977,36433.430900455736
No,No,388.7181418557184,25907.573180734762
No,No,1488.4636846514275,33611.589116235715
Yes,No,1702.148910592598,29219.48215851417
No,No,413.2345170477804,25462.418856699856
No,No,420.22746968866676,32702.582351023368
No,Yes,1259.8015272269627,22114.007226555517
No,No,1827.6252346987135,25843.21382015758
Yes,Yes,2508.6526204870224,18015.451849762114
No,Yes,477.1816031552554,29152.176036128516
No,No,485.8313575376103,37734.158554251786
No,No,825.4508643897689,42936.68729606964
No,No,854.7235869285172,30662.4823717829
No,Yes,695.2831720261295,15835.84995913705
No,Yes,400.2722224997984,19432.68504069076
No,No,649.7058737702935,43773.14005970005
Yes,No,2089.0840452708762,17495.9560147004
No,No,433.5047884068687,47947.10884523378
No,Yes,946.8436236973671,15678.882494482647
Yes,Yes,3609.739597305121,28907.735611600212
No,Yes,514.0638930750968,16306.79015553792
No,No,1084.4291787375955,27548.31950092958
Yes,No,2147.283955522681,12925.229674956478
No,Yes,1224.6727331953418,36426.58992717357
No,Yes,1702.4814598419173,27473.815250340485
No,No,1186.4590396321169,39836.98515362511
No,No,964.4300673085137,28571.321773280957
Yes,No,1665.4258563434623,24192.456497501196
No,Yes,1273.0820173033965,28885.71425066451
No,No,584.0374945830176,21468.754082512132
No,No,745.335515629363,31828.73139760797
No,No,875.7464510775328,20992.69883541282
No,No,483.4777516427219,34739.48446585333
No,No,770.2990658943692,14330.872355287156
No,No,690.9350598394734,18694.212266389728
No,Yes,1270.3593690962875,17431.263819673317
Yes,No,2523.892961324132,39647.5307410532
No,No,803.9181253533732,28186.822887380684
No,No,1858.0856758721357,43335.98323114702
No,No,1032.432698733894,48506.98277659465
No,No,767.7488365635372,30413.568703117064
No,No,461.6820296140536,18715.525797291688
No,No,772.0010018004082,43156.79956276048
No,Yes,885.2596179268652,12659.03679701592
No,Yes,439.8522994165979,17127.154064261595
No,No,417.6894850167029,16489.35729073613
No,Yes,1057.2549675609646,30192.153077480394
No,Yes,2215.0945263643353,27454.599777880965
No,Yes,759.943834687063,34778.00007470327
No,No,163.64045002181842,29087.443904899308
No,Yes,319.3652733957481,17682.173891124516
No,No,1103.4416303281746,28251.893656630396
No,Yes,239.9934130864228,14120.604575491596
No,No,1226.3134669429712,47786.517806288946
No,No,1061.9517087383788,67266.3390862728
No,No,616.7527236424513,26261.882021229587
No,Yes,443.2767339222137,27598.886566357618
No,Yes,659.6293348377,22361.57612169326
No,No,865.4937567647188,37917.40428168491
No,No,206.72526984403618,44096.98685804139
No,Yes,2069.6233490330715,15448.360418159422
No,No,859.7726627961833,28714.094483694073
No,No,931.4429766608624,45531.55559936684
No,Yes,1268.0316857030066,27011.84426178565
Yes,Yes,1938.6444798837958,25741.238199095224
No,No,773.3862680098871,38596.838407462164
No,No,1103.9094214627519,39578.915092165356
No,Yes,449.79469972000084,31554.34393115985
Yes,Yes,2515.3799252069,28726.415468304538
No,No,735.0317257094384,32992.733235029205
No,No,373.1922509571852,37030.36383565066
No,No,461.78316282621415,32825.7100365725
No,Yes,107.45138519379547,18226.994075231407
No,No,459.312289027143,32983.72547978333
No,No,34.919702552052364,32361.894476806086
No,No,1160.351157202474,16519.080422029758
No,No,911.3909978148179,41249.3495942205
No,No,281.61897384667884,42944.63445628622
No,No,642.3308984238785,38938.08906463246
No,No,664.8080533816074,42347.05819722854
No,No,229.5611232578702,31740.9086444845
No,No,558.94747531239,28359.258886994678
No,Yes,816.7764684253651,30092.337592777043
No,No,546.9977365246451,22912.16559074792
No,Yes,447.4382861186016,15795.917019970093
No,No,271.666635645437,37981.38727406708
No,No,531.787857828875,37707.63197691713
No,No,413.0720985064839,42800.724593022314
No,Yes,1209.857782944876,11476.90354910288
No,No,1681.828775081514,32522.57759206501
No,No,1267.2099795972358,22196.332791345747
No,No,697.9361946001447,42052.942132023134
No,No,385.28646175654984,46837.490486275165
No,No,1244.0242304709907,38544.956768553064
No,Yes,1261.6812818231572,19545.06501322594
No,No,1604.606942536339,26014.14847326706
No,No,774.0012823352928,29381.714026752983
Yes,Yes,2429.9489066746405,17562.129254793967
No,No,774.1788032329772,31907.588509880417
No,No,383.68311372933914,25991.3458287695
No,No,446.70832518047456,19683.508902069632
No,No,974.7454322662309,37306.4642794516
No,No,412.12664663385954,38078.24021250666
No,No,2015.850987427443,50494.1999240169
No,Yes,1101.9843013854625,20417.64375466021
No,No,686.4847768430694,14597.95343351071
No,Yes,876.709710057984,29157.109958621426
No,No,542.3947023622459,42777.56254847529
No,No,122.9256828141815,44920.016380823494
No,No,446.98492949040156,48213.24336715961
No,No,1854.5426630793709,48355.30729017837
No,No,789.4199966749642,23732.235521667782
No,No,1366.7490547706382,48980.77554830863
No,Yes,1671.885950628042,21153.75286626789
No,Yes,776.373652224627,29039.057795185552
No,No,1063.4468061395673,36094.92721030846
No,Yes,166.80312449622957,16640.75626957251
No,Yes,2108.1351288060578,31572.50843219546
No,No,1663.460843190157,28938.984842835547
No,No,955.7085371775763,52087.74428572653
No,Yes,972.6496732515044,18107.297609374527
No,No,653.5574777295438,23455.488586155312
No,Yes,1768.97040520648,18809.90573259652
No,No,1149.8463843160644,48452.012744287975
No,No,496.47172820944246,17828.00063572829
No,No,239.51836699161566,42630.664694360574
No,Yes,236.02303436578924,36276.523565554606
Yes,No,1463.7346188328515,31806.182765414233
No,No,642.7293372919988,29569.1361620732
No,No,944.5976558320708,34298.95952963048
No,No,707.1294036961757,22275.908381984897
No,No,199.37315368089216,59982.642329022616
No,No,142.63080565227887,40198.104296701444
No,No,469.1261892699057,21294.840479115664
No,No,502.3449035125096,25428.12430663828
No,No,502.086001037532,35291.3379024299
No,No,513.986431671598,20555.764941016925
Yes,No,2416.929134958752,18456.789069122773
No,No,1352.7839049415227,36437.6808097944
No,Yes,957.2829699008702,30491.98837742877
No,No,630.3712882351547,42652.21962504421
No,No,647.6293272314396,32902.62430187016
No,No,1121.081350355827,30754.90592377231
No,No,625.8474580093068,34016.70188900433
No,No,1260.639689936532,43421.27038757061
No,No,862.0771328707842,20932.319855404916
No,Yes,2917.3512402598553,18008.076504605655
No,Yes,716.5796582254313,20805.63818625327
No,No,1418.2896713925322,31077.606543209324
No,No,260.94391872159804,32955.29082902288
No,Yes,472.37640914528805,23275.68119546026
Yes,No,2224.004230458681,40240.24710829813
No,No,1224.4618452271218,15871.837778237841
No,No,956.7933580811955,17485.59947522132
Yes,No,2837.2883298013003,26848.056315354537
No,Yes,764.8234913278437,29495.125491440685
No,No,1416.021394566035,26980.502211444553
No,No,1486.712243652352,33089.17760725715
No,Yes,2299.1107309302465,24346.98296108407
No,No,232.6238713261036,36660.96755460627
No,No,634.0912361204038,49145.75112199667
No,No,851.257914514765,40446.44178337912
No,No,1895.4145825534883,43474.63142386226
No,No,929.3670930275432,32232.03625879294
No,No,1488.8641747776996,48235.0385502992
No,Yes,254.92656540302886,23951.25363587056
No,Yes,629.410866566651,9762.758629197058
No,No,1659.2990371112928,58083.86662827666
No,Yes,697.4725409636095,23773.278215331924
No,No,674.7440565313365,38797.725016151715
No,No,1875.5794491576914,22813.90537614998
No,No,317.97142622946535,55471.19449105463
No,No,388.15090264298686,25567.46085319449
No,No,190.2558436900017,29647.531899070127
No,No,1924.8994562364392,18209.054330876657
No,Yes,1603.0978155567211,26002.043872194306
No,No,1313.022446223784,30684.84620729561
No,No,512.5998654183136,18064.058115579617
No,No,175.75900708478486,32824.290722113525
No,No,126.84532699357179,34447.94959676071
No,No,1667.4363665908447,31025.239919590134
No,No,1002.3249981148556,15291.120245428607
No,No,1140.388249582873,36407.958072297566
